checkpoint_epoch,n_runs,n_success,n_failed,A_l1_delta_mean,A_l1_delta_se,A_log_pdet_mean,A_log_pdet_se,solve_time_s_mean,solve_time_s_se
100,3,3,0,1.6666666666666667,0.3333333333333333,11.336554827075174,0.0860507512222883,0.1193889029867326,0.0175271484497787
200,3,3,0,110.66666666666669,34.89189654410383,15.037799055126609,1.2566538527718047,0.1813251803396269,0.0100936185703353
300,3,3,0,111.0,35.04283093587046,15.043111307632383,1.2568148075387706,0.1963151249995765,0.028417345458005
400,3,3,0,186.33333333333331,16.75642497007574,20.225305339015268,1.043623341206947,0.2058289859948369,0.0306947229230761
500,3,3,0,720.6666666666666,74.0592855608112,33.3505518901998,1.5478843037851222,0.2901502636571725,0.0528043629723043
600,3,3,0,1278.6666666666667,54.17666574376012,41.29694039137637,0.957930195712116,0.4542473336720529,0.0965119143445029
700,3,3,0,1694.6666666666667,33.94276227874083,45.36572845908082,0.7723220788784655,0.5815409026690759,0.1873023691912921
800,3,3,0,2034.0,38.35361782153022,48.04317521312569,0.7261911123666278,1.3225162916739162,0.3203700978706831
900,3,3,0,2291.333333333333,21.926645383591577,49.87648984320481,0.5212918402481166,1.1796201946563087,0.2964425835374739
1000,3,3,0,2506.333333333333,29.076527379390487,51.34902172365426,0.5256029466867068,3.3500409723298312,1.7882515199062827
