dataset,model,time_limit_s,n_runs,n_success,n_failed,test_mse_norm_mean,test_mse_norm_se,solve_time_s_mean,solve_time_s_se,solution_quality_ratio_mean,solution_quality_ratio_se,experiment
Quad,DFN,3600,5,5,0,0.0034812628536795,0.0004079099216987,1.7795262,0.4081533203255119,4.854979276,0.9939704385547948,Quadratic n=16 (official artifacts)
Quad,LSET,3600,5,5,0,0.0804660213490327,0.0075604171709184,3600.5694274,0.1673130522719677,35.521507978,12.606665007180125,Quadratic n=16 (official artifacts)
Quad,MLP,3600,5,5,0,0.0125345551536108,0.0009631045966299,49.62959180000001,20.812106893598965,34.896805542,15.477146398041835,Quadratic n=16 (official artifacts)
RA,DFN,3600,5,5,0,0.000534607557444,0.0001363878963671,0.3375651836395263,0.1046521291469601,1.5684894143359125,0.2152032543165156,Resource alloc. (official artifacts)
RA,LSET,3600,5,5,0,0.0010379803294393,0.0001437207897149,3600.0066071987158,0.0012122617123116,1.29186074476976,0.123827051979806,Resource alloc. (official artifacts)
RA,MLP,3600,5,5,0,0.0008041595065733,0.0002777897511733,16.135311222076417,4.514514407545791,1.0677055282424184,0.0350885597569628,Resource alloc. (official artifacts)
MDVSP,DFN,3600,5,5,0,4.669029451823311e-06,2.460102873322287e-06,0.0541366100311279,0.0084686375636183,1.0018328805693273,0.0002588199734878,MDVSP (official artifacts)
MDVSP,LSET,3600,5,5,0,9.099354611559344e-06,1.6553561199615302e-06,284.76873416900634,96.17621003995768,1.0017704206765257,0.0003600684630689,MDVSP (official artifacts)
MDVSP,MLP,3600,5,5,0,2.2097523238699068e-05,4.161444476800504e-06,4.084141063690185,0.5406987700682588,1.0039676994417126,0.0003267353124535,MDVSP (official artifacts)
QuadSmall,DFN,600,3,3,0,0.0060651228328545,0.0014183434753755,0.0929030577341715,0.0062973693945572,5.328117627247448,1.741569982088646,Quadratic n=8 (FRESH retrain)
QuadSmall,LSET,600,3,0,3,,,,,,,Quadratic n=8 (FRESH retrain)
QuadSmall,MLP,600,3,3,0,0.0087938414803809,0.0014382636359878,1.8529213269551597,0.1426350614079703,13.132797810530056,6.852520367793254,Quadratic n=8 (FRESH retrain)
