K,T,config,frac_optimum_mean,frac_optimum_std,n,part
6,500,all (UCB+EXP3+FTRL),0.7110395011241558,0.02300188075970349,48,3a
6,500,all-TS (TS+EXP3+FTRL),0.6729498868413626,0.03116592071581698,48,3a
6,500,UCB-only,0.881043180191774,0.048851915120233645,48,3a
6,500,EXP3-only,0.645535565954363,0.020672055776609802,48,3a
6,500,FTRL-only,0.8553225914909074,0.03267359134957321,48,3a
6,500,TS-only,0.7083952054331019,0.038659551442393206,48,3a
6,500,coordination=True,0.7151874908246558,0.06054426547016161,48,3b
6,500,coordination=False,0.7200159185542981,0.04642919376396033,48,3b
6,500,coordination=True,0.7554488589999595,0.053736936152289534,48,3c
6,500,coordination=False,0.7705845192623753,0.05167019864467079,48,3c
