method,seed,hv_ratio,final_pareto_size,wallclock_sec
D&L-TS,0,0.13890852246296473,24,0.6865360736846924
D&L-TS,1,0.16871567254192857,19,0.575096845626831
D&L-TS,2,0.1637498247603873,35,0.6377670764923096
D&L-TS,3,0.1545625037118531,25,0.6811575889587402
D&L-TS,4,0.14594444718957886,37,0.6444942951202393
D&L-TS,5,0.1477967821172087,27,0.7379674911499023
D&L-TS,6,0.11854056512282603,38,0.8612966537475586
D&L-TS,7,0.15105903479150742,39,0.6749320030212402
D&L-TS,8,0.1182503520747659,32,0.6068558692932129
D&L-TS,9,0.16735810313288121,21,0.5446014404296875
BO-qParEGO-analogue,0,0.17501132880281847,70,54.57248783111572
BO-qParEGO-analogue,1,0.17417454367889693,70,47.320910930633545
BO-qParEGO-analogue,2,0.16132564341371142,68,58.175696849823
BO-qParEGO-analogue,3,0.17947166051625685,65,56.71634292602539
BO-qParEGO-analogue,4,0.14314732982378378,61,51.0538535118103
BO-qParEGO-analogue,5,0.2807971425650847,68,50.47988438606262
BO-qParEGO-analogue,6,0.17880048658466238,75,46.37541055679321
BO-qParEGO-analogue,7,0.18596262210771952,54,47.6907103061676
BO-qParEGO-analogue,8,0.19581930579838022,58,50.38239288330078
BO-qParEGO-analogue,9,0.13628602454067693,72,56.94285559654236
NSGA-II,0,0.19213171531432596,36,0.1792306900024414
NSGA-II,1,0.5695785045329146,20,0.15001392364501953
NSGA-II,2,0.2749957447088962,30,0.12256717681884766
NSGA-II,3,0.20976161681955022,49,0.13910770416259766
NSGA-II,4,0.2027378663076432,56,0.13122034072875977
NSGA-II,5,0.19938771873019717,36,0.12134003639221191
NSGA-II,6,0.10750445429186777,56,0.12135601043701172
NSGA-II,7,0.25892036763078297,39,0.13019490242004395
NSGA-II,8,0.20166901062147086,47,0.11528158187866211
NSGA-II,9,0.17747632722606713,51,0.11899232864379883
