problem,size,method,instance_seed,hv_ratio,num_nondominated,wallclock_sec,num_evals
Bi-KP,16,D&L,56000,0.8185110663983903,7,3.151107312995009,1680
Bi-KP,16,D&L-TS,56000,0.8562575452716298,3,3.0271556630032137,1680
Bi-KP,16,WS-heuristic,56000,0.8672032193158954,9,0.011082585959229618,444
Bi-KP,16,NSGA-II,56000,0.8672032193158954,10,0.7945975759648718,2400
Bi-KP,16,BO,56000,0.8675653923541248,8,1.563575986016076,396
Bi-KP,16,D&L,56001,0.9896907216494846,4,3.121941190038342,1680
Bi-KP,16,D&L-TS,56001,0.996184228142991,2,3.142344509018585,1680
Bi-KP,16,WS-heuristic,56001,0.9896907216494846,11,0.00596162403235212,380
Bi-KP,16,NSGA-II,56001,0.9896907216494846,5,0.4654043350019492,2400
Bi-KP,16,BO,56001,0.996184228142991,2,0.8496234159683809,396
Bi-KP,16,D&L,56002,0.7169437548584467,4,3.1590987580129877,1680
Bi-KP,16,D&L-TS,56002,0.7941523107399885,5,3.2956492790253833,1680
Bi-KP,16,WS-heuristic,56002,0.7769251987261466,11,0.007710607023909688,380
Bi-KP,16,NSGA-II,56002,0.8148148148148148,18,0.4602251729811542,2400
Bi-KP,16,BO,56002,0.7899897188996715,9,0.7942717710393481,396
Bi-KP,16,D&L,56003,0.8025158422396671,8,3.1463061129907146,1680
Bi-KP,16,D&L-TS,56003,0.681310886219616,4,3.337410976004321,1680
Bi-KP,16,WS-heuristic,56003,0.7415586872221697,12,0.007882690988481045,524
Bi-KP,16,NSGA-II,56003,0.8380308332545162,4,0.3338491710019298,2400
Bi-KP,16,BO,56003,0.8552917809514802,6,0.8088163530337624,396
Bi-KP,16,D&L,56004,0.9936080740117746,5,2.7398691920097917,1680
Bi-KP,16,D&L-TS,56004,0.9936080740117746,4,2.6457806960097514,1680
Bi-KP,16,WS-heuristic,56004,0.9512195121951219,8,0.005850932968314737,396
Bi-KP,16,NSGA-II,56004,0.9512195121951219,4,0.3448256329866126,2400
Bi-KP,16,BO,56004,0.9688814129520605,5,1.0794301350251772,396
Bi-KP,16,D&L,56005,0.6188415596123507,8,3.1944732519914396,1680
Bi-KP,16,D&L-TS,56005,0.6421230561189993,7,2.880214122997131,1680
Bi-KP,16,WS-heuristic,56005,0.6717151228307415,10,0.0061404420412145555,428
Bi-KP,16,NSGA-II,56005,0.6737209826459319,18,0.29022276896284893,2400
Bi-KP,16,BO,56005,0.5830516114491774,9,0.6994982510223053,396
Bi-KP,16,D&L,56006,0.8357335437627409,6,2.813722280028742,1680
Bi-KP,16,D&L-TS,56006,0.7791806404945091,3,2.6272116420441307,1680
Bi-KP,16,WS-heuristic,56006,0.8003222200302492,9,0.00674776901723817,492
Bi-KP,16,NSGA-II,56006,0.8662458078516473,10,0.2987497380236164,2400
Bi-KP,16,BO,56006,0.8662458078516473,9,0.762328588985838,396
Bi-KP,16,D&L,56007,0.6994672869147659,9,2.619430320977699,1680
Bi-KP,16,D&L-TS,56007,0.7627363445378151,8,2.780819793988485,1680
Bi-KP,16,WS-heuristic,56007,0.7469237695078031,8,0.007886027044150978,412
Bi-KP,16,NSGA-II,56007,0.7915853841536614,12,0.29269211704377085,2400
Bi-KP,16,BO,56007,0.721657412965186,5,0.8468132059788331,396
Bi-KP,16,D&L,56008,0.7876346706966314,7,2.728397689992562,1680
Bi-KP,16,D&L-TS,56008,0.7306707941305514,4,2.856437768030446,1680
Bi-KP,16,WS-heuristic,56008,0.8426485643250622,10,0.008940059982705861,428
Bi-KP,16,NSGA-II,56008,0.8547140837517672,16,0.36768744798609987,2400
Bi-KP,16,BO,56008,0.7866231170477258,8,0.7806038299459033,396
Bi-KP,16,D&L,56009,0.8389957264957265,7,2.6714078699587844,1680
Bi-KP,16,D&L-TS,56009,0.7802884615384615,4,2.7967744279885665,1680
Bi-KP,16,WS-heuristic,56009,0.7992521367521368,11,0.005867827974725515,412
Bi-KP,16,NSGA-II,56009,0.8241452991452991,11,0.3138136950437911,2400
Bi-KP,16,BO,56009,0.802457264957265,8,0.9108126349747181,396
Bi-KP,32,D&L,72000,0.7070923538981354,7,4.8989412559894845,1680
Bi-KP,32,D&L-TS,72000,0.4265632169524048,4,4.843301942979451,1680
Bi-KP,32,WS-heuristic,72000,0.8896466858549201,8,0.012190631008706987,844
Bi-KP,32,NSGA-II,72000,0.8313310807992325,9,0.2761158839566633,2400
Bi-KP,32,BO,72000,0.6173820548116631,1,0.7806418770342134,396
Bi-KP,32,D&L,72001,0.6815381001427513,4,4.896854293998331,1680
Bi-KP,32,D&L-TS,72001,0.5632171446124935,2,4.972518266004045,1680
Bi-KP,32,WS-heuristic,72001,0.9030917403010427,8,0.012821919983252883,844
Bi-KP,32,NSGA-II,72001,0.8946531504671039,12,0.2829336859867908,2400
Bi-KP,32,BO,72001,0.5635725170608892,3,0.7705161030171439,396
Bi-KP,32,D&L,72002,0.6456318066213073,5,4.985024583002087,1680
Bi-KP,32,D&L-TS,72002,0.4742734169510684,4,5.100555581972003,1680
Bi-KP,32,WS-heuristic,72002,0.870095428559007,8,0.01487161498516798,876
Bi-KP,32,NSGA-II,72002,0.7741940742995022,5,0.3113849100191146,2400
Bi-KP,32,BO,72002,0.5962491576636306,4,0.8045956830028445,396
Bi-KP,32,D&L,72003,0.44797032763239236,2,5.530612347996794,1680
Bi-KP,32,D&L-TS,72003,0.4249368947043066,4,5.271443743957207,1680
Bi-KP,32,WS-heuristic,72003,0.8765905110241088,9,0.012780838995240629,940
Bi-KP,32,NSGA-II,72003,0.8043478260869565,8,0.2990896939882077,2400
Bi-KP,32,BO,72003,0.7596782917782815,3,1.1015890230191872,396
Bi-KP,32,D&L,72004,0.5848389833288808,6,6.102016674994957,1680
Bi-KP,32,D&L-TS,72004,0.5929566044721906,3,6.181404418020975,1680
Bi-KP,32,WS-heuristic,72004,0.8361712199397271,9,0.013904664025176316,844
Bi-KP,32,NSGA-II,72004,0.776273299494289,11,0.3359602469718084,2400
Bi-KP,32,BO,72004,0.5921692139686825,2,1.2026296179974452,396
Bi-KP,32,D&L,72005,0.5543860689437066,5,6.408109038020484,1680
Bi-KP,32,D&L-TS,72005,0.4529915796963947,4,6.481979530944955,1680
Bi-KP,32,WS-heuristic,72005,0.8247598434535104,10,0.020943585957866162,940
Bi-KP,32,NSGA-II,72005,0.8293455487033523,14,0.42133693100186065,2400
Bi-KP,32,BO,72005,0.5095617884250474,4,1.925122354994528,396
Bi-KP,32,D&L,72006,0.6194523279115424,6,7.876796956988983,1680
Bi-KP,32,D&L-TS,72006,0.5026193455196476,3,8.372255366004538,1680
Bi-KP,32,WS-heuristic,72006,0.9365457190230604,6,0.018811643996741623,780
Bi-KP,32,NSGA-II,72006,0.8724760190016988,8,0.4728901900234632,2400
Bi-KP,32,BO,72006,0.725243370258476,4,1.7381668469752185,396
Bi-KP,32,D&L,72007,0.578545451288115,6,8.089701823948417,1680
Bi-KP,32,D&L-TS,72007,0.5618348919703322,2,7.289834130962845,1680
Bi-KP,32,WS-heuristic,72007,0.7872415708194489,8,0.02225240197731182,940
Bi-KP,32,NSGA-II,72007,0.7712431473718155,6,0.4083799200016074,2400
Bi-KP,32,BO,72007,0.5319475796338099,6,1.587661865982227,396
Bi-KP,32,D&L,72008,0.5401160104717417,5,7.375907522975467,1680
Bi-KP,32,D&L-TS,72008,0.5560289512858683,3,7.27366671198979,1680
Bi-KP,32,WS-heuristic,72008,0.8920614958164366,6,0.021934403979685158,972
Bi-KP,32,NSGA-II,72008,0.8299111955238437,6,0.4117991690291092,2400
Bi-KP,32,BO,72008,0.5785893947949284,5,1.5305937409866601,396
Bi-KP,32,D&L,72009,0.6553884711779449,4,8.099458165990654,1680
Bi-KP,32,D&L-TS,72009,0.49276837928153716,4,7.607938368979376,1680
Bi-KP,32,WS-heuristic,72009,0.8799081035923141,7,0.01874384202528745,972
Bi-KP,32,NSGA-II,72009,0.8880430242272348,18,0.4552467620233074,2400
Bi-KP,32,BO,72009,0.45997807017543857,7,1.4797290919814259,396
Bi-TSP,16,D&L,57000,0.19936215565904086,3,5.056115348008461,1680
Bi-TSP,16,D&L-TS,57000,0.1653558936640633,6,5.173861104995012,1680
Bi-TSP,16,WS-heuristic,57000,0.6311766055376032,8,0.09690575103741139,3340
Bi-TSP,16,NSGA-II,57000,0.5524957908409396,6,0.5215760259889066,2400
Bi-TSP,16,BO,57000,0.28120667057561943,3,1.3406092050136067,396
Bi-TSP,16,D&L,57001,0.38012449557623157,1,4.810344739002176,1680
Bi-TSP,16,D&L-TS,57001,0.30713676138893253,4,4.804160501982551,1680
Bi-TSP,16,WS-heuristic,57001,0.8939749013141031,5,0.09661120397504419,2924
Bi-TSP,16,NSGA-II,57001,0.8579661265246131,6,0.5812252759933472,2400
Bi-TSP,16,BO,57001,0.3514461461173308,5,1.7002476790221408,396
Bi-TSP,16,D&L,57002,0.32044516731050654,3,5.144337159988936,1680
Bi-TSP,16,D&L-TS,57002,0.2182222625960121,3,5.210753713967279,1680
Bi-TSP,16,WS-heuristic,57002,0.7268483935241692,6,0.10818233800819144,3548
Bi-TSP,16,NSGA-II,57002,0.705784848545811,6,0.5623803699854761,2400
Bi-TSP,16,BO,57002,0.3789513335607069,2,1.6892962930141948,396
Bi-TSP,16,D&L,57003,0.26104951203074395,3,4.575287647021469,1680
Bi-TSP,16,D&L-TS,57003,0.23717316804944924,2,5.009078341012355,1680
Bi-TSP,16,WS-heuristic,57003,0.7922384474807862,5,0.09451607201481238,2924
Bi-TSP,16,NSGA-II,57003,0.6156358642504298,7,0.6125824269838631,2400
Bi-TSP,16,BO,57003,0.29459859880315525,6,1.6495422429870814,396
Bi-TSP,16,D&L,57004,0.21682945330542558,5,4.249047260032967,1680
Bi-TSP,16,D&L-TS,57004,0.28131871475464865,5,4.284271773009095,1680
Bi-TSP,16,WS-heuristic,57004,0.8265912173012234,5,0.0844807950197719,3028
Bi-TSP,16,NSGA-II,57004,0.8175668810936378,7,0.506875368009787,2400
Bi-TSP,16,BO,57004,0.3863684607256048,4,0.9979330220376141,396
Bi-TSP,16,D&L,57005,0.31623181333372763,6,4.100029547989834,1680
Bi-TSP,16,D&L-TS,57005,0.22488950193538257,4,4.525280152971391,1680
Bi-TSP,16,WS-heuristic,57005,0.8216911910878033,6,0.09306646895129234,3860
Bi-TSP,16,NSGA-II,57005,0.704862293503181,9,0.40769571001874283,2400
Bi-TSP,16,BO,57005,0.3875611684431077,3,0.8162194750038907,396
Bi-TSP,16,D&L,57006,0.2710376238691203,3,3.5506770290085115,1680
Bi-TSP,16,D&L-TS,57006,0.22631688128708102,4,4.287857631978113,1680
Bi-TSP,16,WS-heuristic,57006,0.6331523451978112,9,0.09583681396907195,3340
Bi-TSP,16,NSGA-II,57006,0.6495475938106259,8,0.5077099229674786,2400
Bi-TSP,16,BO,57006,0.2990161802064827,4,1.1828080779523589,396
Bi-TSP,16,D&L,57007,0.27444098909109554,5,4.104063728998881,1680
Bi-TSP,16,D&L-TS,57007,0.33218538610225157,3,3.7690619959612377,1680
