regime,T,Gaussian,shell,2-Gauss-mix-1.5,2-Gauss-mix-3,SGG(p=1.0),SGG(p=1.3),SGG(p=3.0),best_competitor,margin_vs_gauss
inside (delta<=delta_star),2,0.000999999999999993,1.0,0.00012053213688825934,2.2448727293463426e-05,0.0,0.0,0.006866414611349056,SGG(p=1.0),-1.0
inside (delta<=delta_star),4,0.000999999999999993,1.0,0.00012859614782073262,0.0013676673057924234,0.0,7.4321590576243495e-06,0.004808807703781849,SGG(p=1.0),-1.0
inside (delta<=delta_star),8,0.000999999999999993,1.0,0.0001899000180341533,0.008858470773355819,9.279392321816773e-05,0.00015816777469586537,0.0032502474999674216,SGG(p=1.0),-0.9072060767818316
inside (delta<=delta_star),16,0.000999999999999993,1.0,0.0006626119787976412,0.014440979460835043,0.00048379870802275096,0.00047911580246525306,0.0022460496302368787,SGG(p=1.3),-0.5208841975347436
inside (delta<=delta_star),32,0.000999999999999993,1.0,0.0014847217414029454,0.016018752350020704,0.0007376101833989663,0.0007206414981869476,0.0016623034808092056,SGG(p=1.3),-0.27935850181304744
inside (delta<=delta_star),64,0.000999999999999993,1.0,0.0022374512021287444,0.016118605196276014,0.0008688248971958838,0.0008565640995362194,0.0013431310519621017,SGG(p=1.3),-0.14343590046377463
inside (delta<=delta_star),128,0.000999999999999993,1.0,0.0025595548721940027,0.016318402663787205,0.000934534388856935,0.0009274637563569503,0.001174988542953063,SGG(p=1.3),-0.07253624364304334
inside (delta<=delta_star),256,0.000999999999999993,1.0,0.002430430294713176,0.01658920132650313,0.0009673111698576108,0.0009635421221277233,0.0010884199620425701,SGG(p=1.3),-0.03645787787227006
outside control (delta>delta_star),2,0.6600000000000008,1.0,0.6664187125924395,0.6934492151805784,0.7011158417510147,0.6817582358917692,0.6509313836840062,SGG(p=3.0),-0.01374032775150702
outside control (delta>delta_star),4,0.6600000000000008,1.0,0.6703306794959265,0.7032782927025854,0.69102826171693,0.6765285594062587,0.6544257197057872,SGG(p=3.0),-0.008445879233656917
outside control (delta>delta_star),8,0.6600000000000008,1.0,0.6712742708671354,0.7091152142924594,0.6802657518350327,0.6705969340476952,0.6566164324257149,SGG(p=3.0),-0.005126617536796885
outside control (delta>delta_star),16,0.6600000000000008,1.0,0.6725738194964521,0.712619907765848,0.6719279194190172,0.6661141114952641,0.6580359250319086,SGG(p=3.0),-0.002975871163776178
outside control (delta>delta_star),32,0.6600000000000008,1.0,0.6740563603282839,0.7135140054022285,0.6665140300552334,0.6632932115253527,0.658924897988301,SGG(p=3.0),-0.0016289424419694276
outside control (delta>delta_star),64,0.6600000000000008,1.0,0.6748806458954997,0.7132817274997462,0.6634071617674114,0.661709469553119,0.6594359949178314,SGG(p=3.0),-0.0008545531548020957
outside control (delta>delta_star),128,0.6600000000000008,1.0,0.6746717684623958,0.7146807243799992,0.661742623164651,0.6608709041914301,0.6597110248913283,SGG(p=3.0),-0.0004378410737462257
outside control (delta>delta_star),256,0.6600000000000008,1.0,0.6778748094970026,0.7158633411070393,0.6608812530684203,0.660439548799815,0.6598537282434948,SGG(p=3.0),-0.00022162387349400348
