d_analytic,d_fft,d_mc,eps,eps_tot,k,mc_se,rel_err,z_score
0.12693673750664392,0.1269334699028253,,1.0,,2,,-2.5741986778515802e-05,
0.0015371853694009525,0.001534795516834479,,3.0,,2,,-0.0015546938020916112,
0.28620821192209644,0.286204543635733,,1.0,,4,,-1.2816845256891085e-05,
0.03167219418578688,0.031666750361631905,,3.0,,4,,-0.00017188023422187726,
0.5098616600546702,0.5098618045185046,,1.0,,8,,2.833392775958288e-07,
0.1838130765444722,0.18380534715698765,,3.0,,8,,-4.205025904502335e-05,
0.7507882266582613,0.7507959478242038,,1.0,,16,,1.02840796756265e-05,
0.5043098751583706,0.5043096268186607,,3.0,,16,,-4.924347551948927e-07,
,0.03534522587041763,0.03533907438041299,,0.5,2,4.535290107211567e-05,,0.13563608631905272
,0.0010425108132913537,0.0010362976801017575,,1.0,2,5.6921703245291294e-06,,1.0915227119649087
,7.534386516942454e-16,0.0,,2.0,2,0.0,,0.0007534386516942454
,0.09442279627895095,0.09435746602399349,,0.5,4,8.682503671965842e-05,,0.7524356732309744
,0.021420194050951157,0.02143461495401677,,1.0,4,4.0273745626995434e-05,,0.3580720601251119
,5.047291241328856e-05,5.0758953079729935e-05,,2.0,4,1.3735414957338631e-06,,0.20825047319633266
