special_case,seed,shape,t,max_abs_diff,pass
muon,0,"(8, 12)",0.01,0.0,True
muon,0,"(8, 12)",0.1,0.0,True
muon,0,"(8, 12)",1.0,0.0,True
muon,0,"(8, 12)",3.7,0.0,True
muon,1,"(8, 12)",0.01,0.0,True
muon,1,"(8, 12)",0.1,0.0,True
muon,1,"(8, 12)",1.0,0.0,True
muon,1,"(8, 12)",3.7,0.0,True
muon,2,"(8, 12)",0.01,0.0,True
muon,2,"(8, 12)",0.1,0.0,True
muon,2,"(8, 12)",1.0,0.0,True
muon,2,"(8, 12)",3.7,0.0,True
muon,3,"(8, 12)",0.01,0.0,True
muon,3,"(8, 12)",0.1,0.0,True
muon,3,"(8, 12)",1.0,0.0,True
muon,3,"(8, 12)",3.7,0.0,True
muon,4,"(8, 12)",0.01,0.0,True
muon,4,"(8, 12)",0.1,0.0,True
muon,4,"(8, 12)",1.0,0.0,True
muon,4,"(8, 12)",3.7,0.0,True
muon,0,"(16, 16)",0.01,0.0,True
muon,0,"(16, 16)",0.1,0.0,True
muon,0,"(16, 16)",1.0,0.0,True
muon,0,"(16, 16)",3.7,0.0,True
muon,1,"(16, 16)",0.01,0.0,True
muon,1,"(16, 16)",0.1,0.0,True
muon,1,"(16, 16)",1.0,0.0,True
muon,1,"(16, 16)",3.7,0.0,True
muon,2,"(16, 16)",0.01,0.0,True
muon,2,"(16, 16)",0.1,0.0,True
muon,2,"(16, 16)",1.0,0.0,True
muon,2,"(16, 16)",3.7,0.0,True
muon,3,"(16, 16)",0.01,0.0,True
muon,3,"(16, 16)",0.1,0.0,True
muon,3,"(16, 16)",1.0,0.0,True
muon,3,"(16, 16)",3.7,0.0,True
muon,4,"(16, 16)",0.01,0.0,True
muon,4,"(16, 16)",0.1,0.0,True
muon,4,"(16, 16)",1.0,0.0,True
muon,4,"(16, 16)",3.7,0.0,True
muon,0,"(6, 10)",0.01,0.0,True
muon,0,"(6, 10)",0.1,0.0,True
muon,0,"(6, 10)",1.0,0.0,True
muon,0,"(6, 10)",3.7,0.0,True
muon,1,"(6, 10)",0.01,0.0,True
muon,1,"(6, 10)",0.1,0.0,True
muon,1,"(6, 10)",1.0,0.0,True
muon,1,"(6, 10)",3.7,0.0,True
muon,2,"(6, 10)",0.01,0.0,True
muon,2,"(6, 10)",0.1,0.0,True
muon,2,"(6, 10)",1.0,0.0,True
muon,2,"(6, 10)",3.7,0.0,True
muon,3,"(6, 10)",0.01,0.0,True
muon,3,"(6, 10)",0.1,0.0,True
muon,3,"(6, 10)",1.0,0.0,True
muon,3,"(6, 10)",3.7,0.0,True
muon,4,"(6, 10)",0.01,0.0,True
muon,4,"(6, 10)",0.1,0.0,True
muon,4,"(6, 10)",1.0,0.0,True
muon,4,"(6, 10)",3.7,0.0,True
muon,0,"(12, 6)",0.01,0.0,True
muon,0,"(12, 6)",0.1,0.0,True
muon,0,"(12, 6)",1.0,0.0,True
muon,0,"(12, 6)",3.7,0.0,True
muon,1,"(12, 6)",0.01,0.0,True
muon,1,"(12, 6)",0.1,0.0,True
muon,1,"(12, 6)",1.0,0.0,True
muon,1,"(12, 6)",3.7,0.0,True
muon,2,"(12, 6)",0.01,0.0,True
muon,2,"(12, 6)",0.1,0.0,True
muon,2,"(12, 6)",1.0,0.0,True
muon,2,"(12, 6)",3.7,0.0,True
muon,3,"(12, 6)",0.01,0.0,True
muon,3,"(12, 6)",0.1,0.0,True
muon,3,"(12, 6)",1.0,0.0,True
muon,3,"(12, 6)",3.7,0.0,True
muon,4,"(12, 6)",0.01,0.0,True
muon,4,"(12, 6)",0.1,0.0,True
muon,4,"(12, 6)",1.0,0.0,True
muon,4,"(12, 6)",3.7,0.0,True
unscion_llm_block,0,"(8, 12)",0.01,0.0,True
unscion_llm_block,0,"(8, 12)",0.1,0.0,True
unscion_llm_block,0,"(8, 12)",1.0,2.220446049250313e-16,True
unscion_llm_block,0,"(8, 12)",3.7,0.0,True
unscion_llm_block,1,"(8, 12)",0.01,0.0,True
unscion_llm_block,1,"(8, 12)",0.1,0.0,True
unscion_llm_block,1,"(8, 12)",1.0,2.220446049250313e-16,True
unscion_llm_block,1,"(8, 12)",3.7,0.0,True
unscion_llm_block,2,"(8, 12)",0.01,0.0,True
unscion_llm_block,2,"(8, 12)",0.1,0.0,True
unscion_llm_block,2,"(8, 12)",1.0,2.220446049250313e-16,True
unscion_llm_block,2,"(8, 12)",3.7,0.0,True
unscion_llm_block,3,"(8, 12)",0.01,0.0,True
unscion_llm_block,3,"(8, 12)",0.1,0.0,True
unscion_llm_block,3,"(8, 12)",1.0,2.220446049250313e-16,True
unscion_llm_block,3,"(8, 12)",3.7,0.0,True
unscion_llm_block,4,"(8, 12)",0.01,0.0,True
unscion_llm_block,4,"(8, 12)",0.1,0.0,True
unscion_llm_block,4,"(8, 12)",1.0,4.440892098500626e-16,True
unscion_llm_block,4,"(8, 12)",3.7,0.0,True
unscion_llm_block,0,"(16, 16)",0.01,0.0,True
unscion_llm_block,0,"(16, 16)",0.1,0.0,True
