seed,K,metric_at_K
0,50,2.9518866360041547
0,100,2.086101532277698
0,200,1.6997534128110714
0,400,1.2383855001736728
0,800,1.0655701059190021
0,1600,0.765813098722296
1,50,2.8030387720736907
1,100,1.8922397395899517
1,200,1.60962912111136
1,400,1.4159037579497449
1,800,1.190696187330077
1,1600,0.8548552749324236
2,50,3.055147876389556
2,100,2.195053296250321
2,200,1.681497705135668
2,400,1.360570731687662
2,800,1.3237369163112749
2,1600,0.8604434158652521
3,50,2.735033727181331
3,100,2.2559312176235857
3,200,1.7693196317645723
3,400,1.3462668455784224
3,800,1.1521711105042765
3,1600,0.924002529533117
4,50,2.659181475142742
4,100,1.9172764179914892
4,200,1.9068140087686796
4,400,1.4115843119085905
4,800,1.2011961440555654
4,1600,0.9358586967628189
5,50,2.737484400700792
5,100,2.386855222546766
5,200,1.9224021474593516
5,400,1.4008075989829574
5,800,0.9320071046223242
5,1600,0.8747385512344591
6,50,2.7262704367645245
6,100,2.0401703673318807
6,200,1.8540875293509742
6,400,1.6248296734380643
6,800,1.0150321463126288
6,1600,0.9585136613708277
7,50,2.1817647403472566
7,100,2.103459591634603
7,200,1.733864041777344
7,400,1.2457717976106701
7,800,1.2679072041606183
7,1600,0.7198236708721099
8,50,2.813491915424482
8,100,2.359222667050434
8,200,1.8314768974872782
8,400,1.2621757719222653
8,800,1.1253250493467566
8,1600,0.843846902690808
9,50,2.8344390395692627
9,100,2.211223797815517
9,200,1.7955812628064893
9,400,1.3319724713334793
9,800,1.1848813778128573
9,1600,0.7376558278831052
10,50,3.0998852479453265
10,100,2.0160000483420317
10,200,1.6430357802602549
10,400,1.3325697063605113
10,800,1.3082443038285916
10,1600,0.9998394525009348
11,50,2.4674992408784284
11,100,2.1512546230244918
11,200,1.555973407054707
11,400,1.294990224042801
11,800,1.1186091225917514
11,1600,0.7151769894999744
12,50,3.243455572933523
12,100,2.0658182250582495
12,200,1.8963207876045733
12,400,1.6589042178185869
12,800,1.135035649930325
12,1600,0.9885893923101128
13,50,2.718106970542579
13,100,2.0819882833440424
13,200,1.810914102380607
13,400,1.8592092666885798
13,800,1.2931900469002944
13,1600,1.0594865204094015
14,50,3.6655401415849336
14,100,2.357351866152602
14,200,1.8860251122617708
14,400,1.2293088636723821
14,800,1.1478016638634025
14,1600,0.8941973515895669
