layer_group,step,Lhat,grad_dual_norm_next
bias1,0,21.085331578088912,4.242070811415
bias1,1,37.39517378729906,3.458184895951915
bias1,2,20.95602898805665,3.030681763394018
bias1,3,19.938826193539246,2.7594532787002066
bias1,4,17.203962328866115,2.5059431758140875
bias1,5,12.880713133979071,2.2150135581425476
bias1,6,9.52542564369992,2.260648655784364
bias1,7,4.548356706795777,2.2826554681934526
bias1,8,12.476340795655432,2.1598554814098296
bias1,9,4.9753252826090755,2.103673582511286
bias1,10,4.510563569677563,2.0575644236354083
bias1,11,3.671068356817558,2.0708629336640483
bias1,12,10.421531432244997,1.984205379135735
bias1,13,7.083217564485561,1.8380212485140288
bias1,14,7.131686198584927,1.6902746709578593
bias1,15,6.8831772211145275,1.547178326261669
bias1,16,4.412324872805914,1.4665287417499884
bias1,17,5.6025674863269215,1.3448711858409776
bias1,18,8.151845595232738,1.2503907809113524
bias1,19,3.773536635492979,1.2351498086651551
bias1,20,6.845332713473113,1.1520258687314573
bias1,21,7.8494658262234065,0.9757560110957082
bias1,22,3.1899192719088085,0.9623520840505941
bias1,23,4.810570597483044,0.8639779240107771
bias1,24,3.470699142266275,0.8139004553068931
bias1,25,4.107336294991249,0.7869549598225527
bias1,26,8.267736390839621,0.5906608618755954
bias1,27,2.937612685434679,0.5192832525178849
bias1,28,4.285646542073035,0.4241760268442825
bias1,29,4.0575192416088015,0.3477596930105928
bias1,30,2.961070351894732,0.2771390734840786
bias1,31,3.4290967689593272,0.20266507216117075
bias1,32,2.769616214540104,0.1478579642995323
bias1,33,3.341600514842203,0.06732874960568754
bias1,34,2.610049852054215,0.05810486932163276
bias1,35,3.503718470425324,0.0811636001654583
bias1,36,4.7037187344699065,0.058093670082788054
bias1,37,3.930019625480842,0.053280100665468275
bias1,38,3.6059673304555835,0.044323509278017335
bias1,39,3.9725639996650206,0.05591650159940706
bias1,40,4.424914252818838,0.060845406718953825
bias1,41,5.303195054114605,0.0736563648392841
bias1,42,5.144108832369972,0.05786219672457193
bias1,43,4.971367858298068,0.06714561387371176
bias1,44,6.330221696023399,0.0969959524017906
bias1,45,6.577905125957741,0.07203309399639875
bias1,46,6.3579082337989545,0.08810953215503985
bias1,47,6.942095394774859,0.08677326497946437
bias1,48,7.262710946904138,0.095139520411873
bias1,49,7.527115238704823,0.09381224822897506
bias1,50,8.25388922709862,0.11572225737551642
bias1,51,9.210147068550919,0.11516225934151404
bias1,52,8.747585501797145,0.10414035576826174
bias1,53,8.497892855323293,0.11067342944956123
bias1,54,9.047460702584706,0.11556886083549293
bias1,55,8.189959990705557,0.09096284066128829
bias1,56,8.01634137154553,0.10982041922497675
bias1,57,8.37244244902609,0.10122110621451372
bias1,58,8.230574908843787,0.10533833296866839
bias1,59,8.312037314122609,0.10410516541480222
bias1,60,8.267229355273793,0.1065742157816299
bias1,61,7.386983233939621,0.0795780259902557
bias1,62,7.391140277261285,0.10851976985692384
bias1,63,7.584325032323954,0.08196747443702403
bias1,64,8.603634905362657,0.13620606966408347
bias1,65,9.22864972991712,0.09472730092840449
bias1,66,8.513407249892502,0.119002969457936
bias1,67,8.803947414250782,0.10120646410198379
bias1,68,9.540935319421358,0.13748521887835907
bias1,69,9.203999956627666,0.0932155764568915
bias1,70,9.575870767001744,0.14622573848736578
bias1,71,10.708556479120999,0.12160979809527908
bias1,72,9.1424696557432,0.10702666215240034
bias1,73,7.816429155745703,0.08869620190129514
bias1,74,7.96066135450856,0.11096362458688319
bias1,75,8.981894993579434,0.11500077955108975
bias1,76,9.397014491326345,0.1201233272643141
bias1,77,9.039864492222843,0.10653489563265785
bias1,78,8.96017999005317,0.11814118610083238
bias1,79,7.562455881900813,0.07533782915446385
bias1,80,6.661755679923199,0.09261134407212668
bias1,81,5.798649676284334,0.053228076585646426
bias1,82,6.467321138315277,0.11200667965083254
bias1,83,6.394939703240114,0.05059207224565194
bias1,84,5.875149666662335,0.09749760215995562
