condition,rep,T_n,T_n_pruned,pruned_dim,E_val
H0,0,49.63657760620117,49.63530731201172,9,0.9999985098838806
H0,1,68.97986602783203,68.97688293457031,9,0.9999988675117493
H0,2,86.30795288085938,86.30794525146484,9,0.9999982714653015
H0,3,122.7161865234375,122.7092056274414,9,0.9999960064888
H0,4,43.735687255859375,43.734012603759766,9,0.9999978542327881
H0,5,58.92118835449219,58.89216232299805,9,0.9999983906745911
H0,6,114.01604461669922,113.9876480102539,9,0.9999985098838806
H0,7,54.094207763671875,54.09373092651367,9,0.9999961853027344
H0,8,57.50142288208008,57.49933624267578,9,0.9999962449073792
H0,9,59.33594512939453,59.33526611328125,9,0.9999986290931702
H0,10,46.08092498779297,46.07538604736328,9,0.9999969601631165
H0,11,70.71118927001953,70.71067810058594,9,0.9999980330467224
H0,12,78.88964080810547,78.8893814086914,9,0.9999974966049194
H0,13,49.898399353027344,49.89214324951172,9,0.9999978542327881
H0,14,54.260963439941406,54.252845764160156,9,0.9999964833259583
H0,15,87.72211456298828,87.72183990478516,9,0.9999957084655762
H0,16,94.56723022460938,94.40135192871094,9,0.9999985098838806
H0,17,39.29465866088867,39.29444885253906,9,0.9999992251396179
H0,18,72.44995880126953,72.4485092163086,9,0.9999964833259583
H0,19,47.77251052856445,47.74913024902344,9,0.9999892711639404
H0,20,44.11814498901367,44.11806106567383,9,0.9999986886978149
H0,21,60.87591552734375,60.87406921386719,9,0.999998927116394
H0,22,56.971519470214844,56.97150421142578,9,0.9999964237213135
H0,23,74.01065063476562,74.00720977783203,9,0.9999979138374329
H0,24,62.623809814453125,62.5722541809082,9,0.9999988079071045
H0,25,47.3240852355957,47.31766128540039,9,0.9999969005584717
H0,26,60.14117431640625,60.13566207885742,9,0.9999980926513672
H0,27,61.79780197143555,61.79475784301758,9,0.9999988079071045
H0,28,74.83785247802734,74.83771514892578,9,0.9999974370002747
H0,29,71.77803802490234,71.77764892578125,9,0.9999983906745911
H1_str0.05,0,78.01858520507812,77.99098205566406,9,0.9999984502792358
H1_str0.05,1,72.4281005859375,72.42759704589844,9,0.9999992847442627
H1_str0.05,2,106.9691390991211,106.96331024169922,9,0.9999960064888
H1_str0.05,3,70.49388122558594,70.49386596679688,9,0.9999966025352478
H1_str0.05,4,84.445556640625,84.40757751464844,9,0.9999994039535522
H1_str0.05,5,99.92200469970703,99.9218978881836,9,0.999997079372406
H1_str0.05,6,77.75285339355469,77.74848937988281,9,0.9999992251396179
H1_str0.05,7,48.91400146484375,48.89277648925781,9,0.9999983906745911
H1_str0.05,8,61.65353775024414,61.653465270996094,9,0.999997615814209
H1_str0.05,9,65.61021423339844,65.61021423339844,9,0.9999978542327881
H1_str0.05,10,63.109188079833984,63.109130859375,9,0.9999985694885254
H1_str0.05,11,50.19715881347656,50.16090393066406,9,0.9999995231628418
H1_str0.05,12,70.58610534667969,70.58349609375,9,0.9999982118606567
H1_str0.05,13,87.94309997558594,87.94290161132812,9,0.9999980926513672
H1_str0.05,14,70.29549407958984,70.29547119140625,9,0.9999969601631165
H1_str0.05,15,92.78982543945312,92.78981018066406,9,0.9999987483024597
H1_str0.05,16,62.8939208984375,62.8751335144043,9,0.9999966621398926
H1_str0.05,17,57.04926681518555,57.04655075073242,9,0.9999963641166687
H1_str0.05,18,81.06468200683594,81.06468963623047,9,0.9999982118606567
H1_str0.05,19,60.47148895263672,60.47127914428711,9,0.999998927116394
H1_str0.05,20,88.67106628417969,88.67088317871094,9,0.9999978542327881
H1_str0.05,21,69.39192199707031,69.39035034179688,9,0.9999987483024597
H1_str0.05,22,88.99392700195312,88.99231719970703,9,0.9999985098838806
H1_str0.05,23,65.83284759521484,65.83171844482422,9,0.9999976754188538
H1_str0.05,24,54.939823150634766,54.931884765625,9,0.9999992847442627
H1_str0.05,25,46.986595153808594,46.9864501953125,9,0.9999927878379822
H1_str0.05,26,98.54448699951172,98.54261016845703,9,0.9999971389770508
H1_str0.05,27,108.9040298461914,108.89991760253906,9,0.9999985098838806
H1_str0.05,28,78.61492919921875,78.60558319091797,9,0.9999973773956299
H1_str0.05,29,78.10343933105469,78.09683227539062,9,0.999997079372406
H1_str0.15,0,245.16725158691406,245.16720581054688,9,0.999998152256012
H1_str0.15,1,235.78762817382812,235.78707885742188,9,0.9999973177909851
H1_str0.15,2,197.2565460205078,197.2467041015625,9,0.9999979138374329
H1_str0.15,3,164.2715606689453,164.2699432373047,9,0.999996542930603
H1_str0.15,4,241.88796997070312,241.88262939453125,9,0.9999979138374329
H1_str0.15,5,223.14483642578125,223.1434326171875,9,0.9999920725822449
H1_str0.15,6,233.41246032714844,233.39208984375,9,0.9999992847442627
H1_str0.15,7,200.90670776367188,200.8953094482422,9,0.9999986886978149
H1_str0.15,8,279.5721435546875,279.5650634765625,9,0.9999905228614807
H1_str0.15,9,265.555419921875,265.5548400878906,9,0.9999914169311523
H1_str0.15,10,213.36679077148438,213.36131286621094,9,0.999996542930603
H1_str0.15,11,185.4316864013672,185.43157958984375,9,0.9999949336051941
H1_str0.15,12,181.39613342285156,181.38941955566406,9,0.9999986886978149
H1_str0.15,13,184.2004852294922,184.2005157470703,9,0.9999970197677612
H1_str0.15,14,220.96083068847656,220.96047973632812,9,0.9999974370002747
H1_str0.15,15,198.73654174804688,198.73443603515625,9,0.9999971389770508
H1_str0.15,16,208.77273559570312,208.7362060546875,9,0.9999968409538269
H1_str0.15,17,215.19534301757812,215.19482421875,9,0.9999982714653015
H1_str0.15,18,210.6278839111328,210.62384033203125,9,0.9999992251396179
H1_str0.15,19,213.44287109375,213.4407958984375,9,0.999998927116394
H1_str0.15,20,269.1603088378906,269.16009521484375,9,0.9999988675117493
H1_str0.15,21,192.64561462402344,192.63417053222656,9,0.999997615814209
H1_str0.15,22,234.919921875,234.91876220703125,9,0.9999962449073792
H1_str0.15,23,190.0058135986328,190.00579833984375,9,0.9999991059303284
H1_str0.15,24,192.29183959960938,192.2634735107422,9,0.9999977946281433
H1_str0.15,25,238.48519897460938,238.47108459472656,9,0.9999991059303284
H1_str0.15,26,222.94960021972656,222.94482421875,9,0.9999983906745911
H1_str0.15,27,184.42384338378906,184.4232940673828,9,0.9999983906745911
H1_str0.15,28,216.40481567382812,216.4043426513672,9,0.9999954700469971
H1_str0.15,29,317.6636657714844,317.6566467285156,9,0.9999964833259583
H1_str0.5,0,1137.8873291015625,1137.59228515625,9,0.9999992847442627
H1_str0.5,1,1297.333740234375,1260.0697021484375,9,0.9999973177909851
H1_str0.5,2,1077.2901611328125,1058.3441162109375,9,0.9999980926513672
H1_str0.5,3,1209.6031494140625,1197.05908203125,9,0.9999974370002747
H1_str0.5,4,1092.700439453125,1092.228515625,9,0.9999968409538269
H1_str0.5,5,1038.71875,1023.4322509765625,9,0.9999953508377075
H1_str0.5,6,1356.0325927734375,1325.1236572265625,9,0.9999991059303284
H1_str0.5,7,1228.17626953125,1220.1722412109375,9,0.9999992847442627
H1_str0.5,8,986.467529296875,985.6497802734375,9,0.9999988675117493
H1_str0.5,9,1228.9635009765625,1210.3109130859375,9,0.9999979734420776
H1_str0.5,10,1346.90576171875,1319.1761474609375,9,0.9999977946281433
H1_str0.5,11,1199.830810546875,1161.3787841796875,9,0.9999972581863403
H1_str0.5,12,1228.356689453125,1218.7236328125,9,0.9999974370002747
