rep,u_signal_mean,u_signal_top,u_noise_mean,u_noise_top,u_random_mean,v_signal_mean,v_signal_top,v_noise_mean,v_noise_top,v_random_mean
0,0.8850837087669476,0.9087814712467226,0.39124469742599166,0.4871627952180405,0.2089661079985991,0.7916324671733376,0.9315456787291062,0.5634854799461121,0.7963553762774671,0.18838910934119885
1,0.9383278048759238,0.9727710734666333,0.5611212074654839,0.6968145477702867,0.2799590263304479,0.921352010550802,0.9672204926931369,0.8361747194093185,0.8770523792588507,0.24689513836271862
2,0.9042913434627735,0.9572755723593849,0.7427308058831998,0.8353282068969264,0.21681688600602284,0.852914960757488,0.9525464871578178,0.42487473902963413,0.535612687997505,0.23336013810745698
3,0.8506409530545416,0.9534377209127916,0.5491253444624211,0.7617882018180324,0.2177651898639839,0.7383967840427794,0.8546443253228839,0.4294844478958185,0.5384764564110662,0.19974190521521895
4,0.8821977582332967,0.9353831730851645,0.47867335951064494,0.6056109116905066,0.21198483717804084,0.7747990750325954,0.8613191097733451,0.6557341950091442,0.7507390160699937,0.241180106554313
5,0.8125906392598785,0.9186733210599378,0.534856302937339,0.6627015397952283,0.12757115599899366,0.8845796498875346,0.9168377299432223,0.6088656197531815,0.7026197710824138,0.1728764384818594
6,0.8588998804526233,0.9335399501903593,0.5160533197991894,0.7605032762641284,0.21364056695259376,0.857191409908471,0.9495606678363512,0.5889126455744366,0.8067479509170724,0.21220276918037514
7,0.9384044748681848,0.9695419161392363,0.6171602529290136,0.8534194221171857,0.23796941978174957,0.8238586822700007,0.967084273578937,0.5527182906010475,0.6635299654727373,0.21493220801533375
8,0.8812355832369554,0.9542893224669305,0.4019912359412156,0.5203768246394357,0.1951686452905183,0.9074038184596419,0.9470162351777568,0.28347021753344614,0.3093149139047514,0.2477360218540303
9,0.9597780956888857,0.9723602974336562,0.6993178227350135,0.8919882878167831,0.24019540718360624,0.9383538817363495,0.9618850417365707,0.5889071099056997,0.8052629293583294,0.23815308487804426
