variant,oracle,n,k,eps,seed,adversarial,alg_seeds,min_ratio,mean_ratio,mean_min_ratio,exp_min_ratio,n_checkpoints,total_queries,wall_s
A0,maxcut,15,3,0.1,0,0,1,0.4897875720241361,0.9033705626559335,0.4897875720241361,0.4897875720241361,38,125,0.04981493949890137
A0,maxcut,15,3,0.1,0,1,1,0.4897875720241361,0.8670202792636252,0.4897875720241361,,38,315,0.027019739151000977
A0,maxcut,15,3,0.1,1,0,1,0.7993998833557409,0.9434352196520128,0.7993998833557409,0.7993998833557409,38,233,0.031355857849121094
A0,maxcut,15,3,0.1,1,1,1,0.6827024377453239,0.9560037157549935,0.6827024377453239,,38,379,0.03233838081359863
A0,maxcut,15,3,0.1,2,0,1,0.8981182380002851,0.9826254480555874,0.8981182380002851,0.8981182380002851,38,328,0.029694080352783203
A0,maxcut,15,3,0.1,2,1,1,0.8981182380002851,0.9887286164992704,0.8981182380002851,,38,896,0.03231167793273926
A0,maxcut,15,3,0.1,3,0,1,0.8627229401349515,0.9944303189983872,0.8627229401349515,0.8627229401349515,38,157,0.03360891342163086
A0,maxcut,15,3,0.1,3,1,1,0.8627229401349515,0.99036554221833,0.8627229401349515,,38,489,0.031233549118041992
A0,maxcut,15,3,0.1,4,0,1,0.9160945891635934,0.9580807027051772,0.9160945891635934,0.9160945891635934,38,288,0.03702688217163086
A0,maxcut,15,3,0.1,4,1,1,0.9160945891635934,0.9862037520496961,0.9160945891635934,,38,796,0.029265642166137695
A0,maxcut,15,3,0.1,5,0,1,0.8239053568042028,0.9449541630632463,0.8239053568042028,0.8239053568042028,38,191,0.03149986267089844
A0,maxcut,15,3,0.1,5,1,1,0.8239053568042028,0.9481844906095405,0.8239053568042028,,38,620,0.033074140548706055
A0,maxcut,15,3,0.1,6,0,1,0.6650628645388931,0.9796832050410911,0.6650628645388931,0.6650628645388931,38,179,0.029874563217163086
A0,maxcut,15,3,0.1,6,1,1,0.6650628645388931,0.967542707543876,0.6650628645388931,,38,712,0.032483577728271484
A0,maxcut,15,3,0.1,7,0,1,0.6834587139584677,0.8497427213825767,0.6834587139584677,0.6834587139584677,38,94,0.03006720542907715
