variant,oracle,n,k,eps,seed,adversarial,min_ratio,mean_ratio,n_checkpoints,total_queries,wall_s
A1,maxcut,15,3,0.1,0,0,0.4443937825560769,0.8202491492899968,48,216,0.05230379104614258
A1,maxcut,15,3,0.1,0,1,0.4443937825560769,0.8304940595347879,48,749,0.03475832939147949
A1,maxcut,15,3,0.1,1,0,0.5921865446084272,0.8241486179262631,48,263,0.041435956954956055
A1,maxcut,15,3,0.1,1,1,0.47463820409555013,0.6297441815644024,48,598,0.04390883445739746
A1,maxcut,15,3,0.1,2,0,0.6148569362069831,0.8337136072959203,48,359,0.04587578773498535
A1,maxcut,15,3,0.1,2,1,0.6148569362069831,0.8552258879485656,48,1434,0.043318986892700195
A1,maxcut,15,3,0.1,3,0,0.549353787708688,0.811888259042942,48,504,0.043051958084106445
A1,maxcut,15,3,0.1,3,1,0.549353787708688,0.8010056986927485,48,2235,0.04822039604187012
A1,maxcut,15,3,0.1,4,0,0.5379037605885468,0.6611170307662163,48,412,0.03738117218017578
A1,maxcut,15,3,0.1,4,1,0.5267980689078666,0.6395239874991695,48,1079,0.039890289306640625
A1,maxcut,15,3,0.1,5,0,0.38802667608755265,0.7878255136657767,48,418,0.04726839065551758
A1,maxcut,15,3,0.1,5,1,0.38802667608755265,0.8122029399194665,48,1604,0.04917573928833008
A1,maxcut,15,3,0.1,6,0,0.39078644940725205,0.6039179450303994,48,313,0.04375863075256348
A1,maxcut,15,3,0.1,6,1,0.39078644940725205,0.5528153498256803,48,1453,0.04913043975830078
A1,maxcut,15,3,0.1,7,0,0.5147154229159581,0.656815937618816,48,136,0.04268074035644531
A1,maxcut,15,3,0.1,7,1,0.5147154229159581,0.7997900519043131,48,574,0.044035911560058594
A1,maxcut,15,3,0.1,8,0,0.5142880095518771,0.5704345402826335,48,121,0.04360508918762207
A1,maxcut,15,3,0.1,8,1,0.5142880095518771,0.676728151682148,48,498,0.04127836227416992
A1,maxcut,15,3,0.1,9,0,0.3772016172195323,0.9097117377187436,48,265,0.04224348068237305
A1,maxcut,15,3,0.1,9,1,0.3772016172195323,0.941887420680839,48,824,0.04305100440979004
A1,maxcut,15,3,0.1,10,0,0.5615015501537427,0.9075416092278635,48,354,0.04040169715881348
A1,maxcut,15,3,0.1,10,1,0.5615015501537427,0.93559344791738,48,1295,0.0425260066986084
A1,maxcut,15,3,0.1,11,0,0.4101321910056002,0.6192648274226299,48,339,0.03742694854736328
A1,maxcut,15,3,0.1,11,1,0.4101321910056002,0.6208322852451784,48,1178,0.044187307357788086
A1,maxcut,15,3,0.1,12,0,0.5477734276066875,0.6518069111154959,48,198,0.03948521614074707
A1,maxcut,15,3,0.1,12,1,0.48382432289154004,0.6356029728607253,48,661,0.04008626937866211
A1,maxcut,15,3,0.1,13,0,0.550520050278226,0.8446157734890664,48,517,0.04092860221862793
A1,maxcut,15,3,0.1,13,1,0.550520050278226,0.8413280626612356,48,1887,0.04036235809326172
A1,maxcut,15,3,0.1,14,0,0.3914205291412514,0.8674854345034714,48,396,0.03282284736633301
A1,maxcut,15,3,0.1,14,1,0.3914205291412514,0.8555588568086897,48,2680,0.038398027420043945
A1,maxcut,15,3,0.1,15,0,0.6315825768944582,0.7688224070242718,48,307,0.04066824913024902
