variant,oracle,n,k,eps,seed,adversarial,alg_seeds,min_ratio,mean_ratio,mean_min_ratio,exp_min_ratio,n_checkpoints,total_queries,wall_s
A1,maxcut,20,4,0.1,0,0,4,0.39583191749505736,0.5693458969340849,0.5513071719583184,0.6136229153047057,15,483,0.20455408096313477
A1,maxcut,20,4,0.1,1,0,4,0.39957060536947125,0.8000053230026005,0.49086813442322086,0.5532661275287099,15,443,0.27287983894348145
A1,maxcut,20,4,0.1,2,0,4,0.37913643447960627,0.7841194724414168,0.513817608938045,0.5717296938129749,15,278,0.23220229148864746
A1,maxcut,20,4,0.1,3,0,4,0.5619129235406862,0.6822522525864354,0.5973650327202378,0.6191950732016308,15,211,0.29825329780578613
A1,maxcut,20,4,0.1,4,0,4,0.41046647188677793,0.7075864650110493,0.49942816590531347,0.5989851357556198,15,228,0.29519057273864746
A1,maxcut,20,4,0.1,5,0,4,0.38240251435176076,0.7343507653220865,0.5894059746469678,0.6184515425797966,15,325,0.5620009899139404
A1,dicut,20,4,0.1,0,0,4,0.34729048181608335,0.6747778510355769,0.46184836559717096,0.557061465402948,15,311,0.45532822608947754
A1,dicut,20,4,0.1,1,0,4,0.3678900201823281,0.7547082285960229,0.5103788705598648,0.5782839185986342,15,396,0.42926454544067383
A1,dicut,20,4,0.1,2,0,4,0.32885137076360493,0.8254312610959285,0.550285895672132,0.5987351787218202,15,351,0.330554723739624
A1,dicut,20,4,0.1,3,0,4,0.36182745070450967,0.739206873762977,0.4893397453459219,0.5680259763053678,15,271,0.23058342933654785
A1,dicut,20,4,0.1,4,0,4,0.2837562297824767,0.4792021059672862,0.4815726931129146,0.5168063594678441,15,171,0.2585737705230713
A1,dicut,20,4,0.1,5,0,4,0.3181877018981544,0.4836693656129434,0.5634641757231661,0.5922766616651697,15,354,0.23945164680480957
