variant,oracle,n,k,eps,seed,adversarial,alg_seeds,min_ratio,mean_ratio,mean_min_ratio,exp_min_ratio,n_checkpoints,total_queries,wall_s
A1,supermod,14,4,0.1,0,0,4,0.13509952555660015,0.19798443406373747,0.16453748255473885,0.16453748255473885,37,235,0.06412410736083984
A1,supermod,14,4,0.1,1,0,4,0.12807256801612432,0.2190459768207236,0.17533321773841373,0.18217102151413267,37,502,0.0427250862121582
A1,supermod,14,4,0.1,2,0,4,0.15433142912320846,0.2640477822708994,0.1692697213544414,0.2111084788462732,37,310,0.04200935363769531
A1,supermod,14,4,0.1,3,0,4,0.10680411031674336,0.2632368272094752,0.13716149623276222,0.15807441772156738,37,335,0.04285836219787598
A1,supermod,14,4,0.1,4,0,4,0.16667713084329625,0.2789216225581809,0.1918604471306019,0.20812222306785721,37,385,0.041896820068359375
A1,supermod,14,4,0.1,5,0,4,0.10435227482176897,0.23383283811457722,0.1699192734775204,0.18033237691157772,37,276,0.04249715805053711
A1,supermod,14,4,0.1,6,0,4,0.1483514194293135,0.2734395652625564,0.20985576611503967,0.22224343360001744,37,472,0.04163360595703125
A1,supermod,14,4,0.1,7,0,4,0.13184037075994984,0.24474246556879115,0.17866661670982326,0.17866661670982326,37,360,0.04041647911071777
A1,supermod,14,4,0.1,8,0,4,0.13245023858725044,0.25336381153716764,0.2537103767431317,0.2576870122704994,37,413,0.04154515266418457
A1,supermod,14,4,0.1,9,0,4,0.1244618240343706,0.24363092140324535,0.1687895586961266,0.18275917862818014,37,313,0.041150808334350586
A1,supermod,14,4,0.1,10,0,4,0.19280729409942754,0.2931731009257251,0.24110978412386835,0.25665844485506,37,363,0.04162335395812988
A1,supermod,14,4,0.1,11,0,4,0.09387984032590092,0.6551403233528826,0.18143695283449088,0.19131007641913617,37,398,0.04129981994628906
A1,supermod,14,6,0.1,0,0,4,0.07641874352737427,0.16870643394896548,0.13368576007673863,0.1424229189690986,37,651,0.16873836517333984
A1,supermod,14,6,0.1,1,0,4,0.08588881545323486,0.2108954458390557,0.16673255343994214,0.2710399631514344,37,794,0.1699082851409912
A1,supermod,14,6,0.1,2,0,4,0.0811720006081989,0.19469546506224658,0.13646583697321268,0.14580050975223052,37,690,0.16664934158325195
A1,supermod,14,6,0.1,3,0,4,0.1243923765963159,0.2593424841343243,0.13109363444289204,0.1326498816065434,37,716,0.1662158966064453
A1,supermod,14,6,0.1,4,0,4,0.07957811677688756,0.18581021169672712,0.11011687669731698,0.12001026442518262,37,729,0.16755890846252441
A1,supermod,14,6,0.1,5,0,4,0.07795114520060094,0.1356162912513895,0.134895936521006,0.1464229741970559,37,677,0.167374849319458
A1,supermod,14,6,0.1,6,0,4,0.09245885688219042,0.19647039898781585,0.12790417661584438,0.14987237590911717,37,755,0.16736245155334473
A1,supermod,14,6,0.1,7,0,4,0.1032141896923944,0.21641312503437596,0.1314593345628678,0.1479766425108497,37,729,0.17022180557250977
A1,supermod,14,6,0.1,8,0,4,0.09195672478084002,0.21891017502405516,0.13667252135093103,0.15052728522504064,37,768,0.17055916786193848
A1,supermod,14,6,0.1,9,0,4,0.0899995314243809,0.19756379808854416,0.13163819166672197,0.1369644504177312,37,690,0.16797256469726562
A1,supermod,14,6,0.1,10,0,4,0.08982612920287242,0.1970904959413694,0.1145266929462417,0.11506193636256173,37,755,0.1686716079711914
A1,supermod,14,6,0.1,11,0,4,0.08357174697291733,0.20519840143501006,0.13138405581257226,0.14450407225728235,37,742,0.17009639739990234
