sweep,variant,oracle,adversarial,n,k,eps,seed,mean_q,p50_q,p95_q,max_q,naive_q,n_updates,wall_s,bound_shape
n,A1,maxcut,1,250,16,0.2,0,55.3425,15.5,137.0,152,4000,400,1.7901229858398438,19263.26252581599
n,A1,maxcut,1,250,16,0.2,1,52.1125,1.5,122.0,129,4000,400,1.3534436225891113,19263.26252581599
n,A1,maxcut,1,500,16,0.2,0,53.6175,20.0,128.04999999999995,136,8000,400,2.577552080154419,19263.26252581599
n,A1,maxcut,1,500,16,0.2,1,56.7375,27.5,135.04999999999995,148,8000,400,2.525089979171753,19263.26252581599
n,A1,maxcut,1,1000,16,0.2,0,51.785,41.5,151.0,158,16000,400,3.871649742126465,19263.26252581599
n,A1,maxcut,1,1000,16,0.2,1,58.9125,29.0,156.0,164,16000,400,3.8997488021850586,19263.26252581599
n,A1,maxcut,1,2000,16,0.2,0,65.8525,37.5,186.0,195,32000,400,9.25547456741333,19263.26252581599
n,A1,maxcut,1,2000,16,0.2,1,57.6525,46.0,162.04999999999995,169,32000,400,8.351730585098267,19263.26252581599
n,A1,maxcut,1,4000,16,0.2,0,55.74,30.0,173.24999999999977,187,64000,400,17.20024299621582,19263.26252581599
n,A1,maxcut,1,4000,16,0.2,1,50.015,32.0,148.04999999999995,157,64000,400,18.049874305725098,19263.26252581599
k,A1,maxcut,1,1000,5,0.2,0,44.48,6.0,143.0999999999999,152,5000,400,1.4377942085266113,1653.4712937663712
k,A1,maxcut,1,1000,5,0.2,1,38.3875,16.0,113.0,125,5000,400,1.6841981410980225,1653.4712937663712
k,A1,maxcut,1,1000,10,0.2,0,37.58,20.0,123.04999999999995,135,10000,400,2.6240150928497314,6882.43346445369
k,A1,maxcut,1,1000,10,0.2,1,48.4225,37.0,128.0,141,10000,400,3.01340913772583,6882.43346445369
k,A1,maxcut,1,1000,20,0.2,0,58.955,24.5,165.0,172,20000,400,7.9438910484313965,31681.80485446155
k,A1,maxcut,1,1000,20,0.2,1,70.095,69.0,174.0,178,20000,400,9.33653450012207,31681.80485446155
k,A1,maxcut,1,1000,40,0.2,0,147.2425,60.0,345.04999999999995,367,40000,400,55.902902603149414,149998.2849239117
k,A1,maxcut,1,1000,40,0.2,1,165.6075,247.0,352.0,359,40000,400,53.60707330703735,149998.2849239117
k,A1,maxcut,1,1000,80,0.2,0,344.7625,20.0,921.0,933,80000,400,307.6234736442566,704406.1062010874
k,A1,maxcut,1,1000,80,0.2,1,313.0325,60.5,804.0,813,80000,400,277.56601333618164,704406.1062010874
eps,A1,maxcut,1,1000,16,0.05,0,66.745,64.5,151.0,174,16000,400,15.32986068725586,411858.5390709276
eps,A1,maxcut,1,1000,16,0.05,1,43.4125,2.0,96.04999999999995,100,16000,400,7.145797252655029,411858.5390709276
eps,A1,maxcut,1,1000,16,0.1,0,62.615,61.5,139.0,142,16000,400,11.942727327346802,85049.64097286234
eps,A1,maxcut,1,1000,16,0.1,1,40.2675,34.5,83.0,102,16000,400,7.516435861587524,85049.64097286234
eps,A1,maxcut,1,1000,16,0.2,0,51.785,41.5,151.0,158,16000,400,7.120537757873535,19263.26252581599
eps,A1,maxcut,1,1000,16,0.2,1,58.9125,29.0,156.0,164,16000,400,7.5638978481292725,19263.26252581599
eps,A1,maxcut,1,1000,16,0.4,0,52.815,35.0,150.04999999999995,162,16000,400,6.727042198181152,4595.950480148936
eps,A1,maxcut,1,1000,16,0.4,1,56.705,20.0,165.0,171,16000,400,5.035171985626221,4595.950480148936
