sweep,variant,oracle,adversarial,n,k,eps,seed,mean_q,p50_q,p95_q,max_q,naive_q,n_updates,wall_s,bound_shape
n,A1,maxcut,0,250,16,0.2,0,1.8025,1.0,1.0,74,4000,400,0.1330862045288086,19263.26252581599
n,A1,maxcut,0,250,16,0.2,1,4.5475,1.0,1.0,106,4000,400,0.15317845344543457,19263.26252581599
n,A1,maxcut,0,250,16,0.2,2,2.2025,1.0,1.0,82,4000,400,0.12489008903503418,19263.26252581599
n,A1,maxcut,0,500,16,0.2,0,1.53,1.0,1.0,48,8000,400,0.17547035217285156,19263.26252581599
n,A1,maxcut,0,500,16,0.2,1,1.245,1.0,1.0,52,8000,400,0.13953876495361328,19263.26252581599
n,A1,maxcut,0,500,16,0.2,2,0.785,1.0,1.0,30,8000,400,0.130049467086792,19263.26252581599
n,A1,maxcut,0,1000,16,0.2,0,0.78,1.0,1.0,43,16000,400,0.37807726860046387,19263.26252581599
n,A1,maxcut,0,1000,16,0.2,1,0.6975,1.0,1.0,40,16000,400,0.3071014881134033,19263.26252581599
n,A1,maxcut,0,1000,16,0.2,2,0.795,1.0,1.0,31,16000,400,0.39166259765625,19263.26252581599
n,A1,maxcut,0,2000,16,0.2,0,0.89,1.0,1.0,34,32000,400,1.1294755935668945,19263.26252581599
n,A1,maxcut,0,2000,16,0.2,1,0.565,1.0,1.0,26,32000,400,0.9266467094421387,19263.26252581599
n,A1,maxcut,0,2000,16,0.2,2,0.5975,1.0,1.0,39,32000,400,1.0503544807434082,19263.26252581599
n,A1,maxcut,0,4000,16,0.2,0,0.5,0.5,1.0,1,64000,400,3.598285436630249,19263.26252581599
n,A1,maxcut,0,4000,16,0.2,1,0.8025,1.0,1.0,32,64000,400,3.2803077697753906,19263.26252581599
n,A1,maxcut,0,4000,16,0.2,2,0.5,0.5,1.0,1,64000,400,3.3800597190856934,19263.26252581599
k,A1,maxcut,0,1000,5,0.2,0,0.565,1.0,1.0,15,5000,400,0.24959945678710938,1653.4712937663712
k,A1,maxcut,0,1000,5,0.2,1,0.5,0.5,1.0,1,5000,400,0.22176051139831543,1653.4712937663712
k,A1,maxcut,0,1000,5,0.2,2,0.5425,0.5,1.0,18,5000,400,0.23187637329101562,1653.4712937663712
k,A1,maxcut,0,1000,10,0.2,0,0.525,1.0,1.0,10,10000,400,0.2653844356536865,6882.43346445369
k,A1,maxcut,0,1000,10,0.2,1,0.5,0.5,1.0,1,10000,400,0.24930620193481445,6882.43346445369
k,A1,maxcut,0,1000,10,0.2,2,0.6525,1.0,1.0,31,10000,400,0.2554762363433838,6882.43346445369
k,A1,maxcut,0,1000,20,0.2,0,1.0425,1.0,1.0,46,20000,400,0.5756351947784424,31681.80485446155
k,A1,maxcut,0,1000,20,0.2,1,1.2225,1.0,1.0,63,20000,400,0.4524691104888916,31681.80485446155
k,A1,maxcut,0,1000,20,0.2,2,1.1075,1.0,1.0,54,20000,400,0.5147838592529297,31681.80485446155
k,A1,maxcut,0,1000,40,0.2,0,3.985,1.0,1.0,126,40000,400,2.6516737937927246,149998.2849239117
k,A1,maxcut,0,1000,40,0.2,1,3.145,1.0,1.0,241,40000,400,2.0241379737854004,149998.2849239117
k,A1,maxcut,0,1000,40,0.2,2,2.755,1.0,1.0,279,40000,400,1.8543753623962402,149998.2849239117
k,A1,maxcut,0,1000,80,0.2,0,29.75,1.0,1.0,896,80000,400,26.925045013427734,704406.1062010874
k,A1,maxcut,0,1000,80,0.2,1,16.8025,1.0,1.0,752,80000,400,17.592142581939697,704406.1062010874
k,A1,maxcut,0,1000,80,0.2,2,13.56,1.0,1.0,618,80000,400,15.139924764633179,704406.1062010874
eps,A1,maxcut,0,1000,16,0.05,0,1.5725,1.0,1.0,59,16000,400,0.5876286029815674,411858.5390709276
eps,A1,maxcut,0,1000,16,0.05,1,1.14,1.0,1.0,82,16000,400,0.4069974422454834,411858.5390709276
eps,A1,maxcut,0,1000,16,0.05,2,1.0825,1.0,1.0,51,16000,400,0.4791543483734131,411858.5390709276
eps,A1,maxcut,0,1000,16,0.1,0,1.31,1.0,1.0,70,16000,400,0.4718916416168213,85049.64097286234
eps,A1,maxcut,0,1000,16,0.1,1,1.145,1.0,1.0,79,16000,400,0.3828244209289551,85049.64097286234
eps,A1,maxcut,0,1000,16,0.1,2,0.9375,1.0,1.0,57,16000,400,0.4326286315917969,85049.64097286234
eps,A1,maxcut,0,1000,16,0.2,0,0.78,1.0,1.0,43,16000,400,0.3929753303527832,19263.26252581599
eps,A1,maxcut,0,1000,16,0.2,1,0.6975,1.0,1.0,40,16000,400,0.32625365257263184,19263.26252581599
eps,A1,maxcut,0,1000,16,0.2,2,0.795,1.0,1.0,31,16000,400,0.4030032157897949,19263.26252581599
eps,A1,maxcut,0,1000,16,0.4,0,0.5,0.5,1.0,1,16000,400,0.36500000953674316,4595.950480148936
eps,A1,maxcut,0,1000,16,0.4,1,1.13,1.0,1.0,44,16000,400,0.34756016731262207,4595.950480148936
eps,A1,maxcut,0,1000,16,0.4,2,0.72,1.0,1.0,31,16000,400,0.39136457443237305,4595.950480148936
