variant,oracle,n,k,eps,seed,adversarial,alg_seeds,min_ratio,mean_ratio,mean_min_ratio,exp_min_ratio,n_checkpoints,total_queries,wall_s
A2,maxcut,14,3,0.1,0,0,4,0.8592847104410276,0.9772997542344286,0.8394983883949414,0.8394983883949414,37,3457,0.04899740219116211
A2,maxcut,14,3,0.1,0,1,4,0.8592847104410276,0.9906413947156768,0.8394983883949414,,37,3744,0.05754518508911133
A2,maxcut,14,3,0.1,1,0,4,0.9260072214186441,0.9737244910526417,0.8835772765741559,0.9260072214186441,37,3594,0.056894540786743164
A2,maxcut,14,3,0.1,1,1,4,0.9240032959178274,0.9753332287338902,0.8830762951989516,,37,4122,0.05825233459472656
A2,maxcut,14,3,0.1,2,0,4,0.8519413460518069,0.9515589708427451,0.8519413460518069,0.8519413460518069,37,3436,0.05086994171142578
A2,maxcut,14,3,0.1,2,1,4,0.8519413460518069,0.9696765578778322,0.8519413460518069,,37,4081,0.06137537956237793
A2,maxcut,14,3,0.1,3,0,4,0.9396313266844405,0.9808434946314204,0.9187144270666332,0.9396313266844405,37,3625,0.05665278434753418
A2,maxcut,14,3,0.1,3,1,4,0.9396313266844405,0.9921385557256599,0.9187144270666332,,37,4119,0.056626081466674805
A2,maxcut,14,3,0.1,4,0,4,0.786020321254573,0.9575060274922096,0.7695988132005277,0.7714075226838105,37,3442,0.04739832878112793
A2,maxcut,14,3,0.1,4,1,4,0.786020321254573,0.9652320986121738,0.7695988132005277,,37,3996,0.05092287063598633
A2,maxcut,14,3,0.1,5,0,4,0.9715164680279764,0.9903437700239051,0.9571905789348104,0.975724755506279,37,3495,0.05419301986694336
A2,maxcut,14,3,0.1,5,1,4,0.9831518056539122,0.9963542843496435,0.9668535362706157,,37,4399,0.05556368827819824
A2,maxcut,14,3,0.1,6,0,4,0.9570873654185549,0.991502615652181,0.9453692052457482,0.9570873654185549,37,3575,0.051788330078125
A2,maxcut,14,3,0.1,6,1,4,1.0,1.0,0.9668255225364707,,37,4651,0.05988359451293945
A2,maxcut,14,3,0.1,7,0,4,0.9713369759684843,0.9968034412909756,0.9409618157039248,0.9523973612478407,37,3612,0.05287933349609375
A2,maxcut,14,3,0.1,7,1,4,0.9713369759684843,0.9967792151233629,0.9407261386071765,,37,4306,0.05617332458496094
A2,maxcut,14,3,0.1,8,0,4,0.8519751468623801,0.9526284853353811,0.8824397742321516,0.9017657057450321,37,3462,0.05311441421508789
A2,maxcut,14,3,0.1,8,1,4,0.9415681020613252,0.9859824882448012,0.9397408511593386,,37,4305,0.05835890769958496
A2,maxcut,14,3,0.1,9,0,4,0.8813365853278787,0.9685094620222741,0.860421827093053,0.882547517694452,37,3571,0.05527853965759277
A2,maxcut,14,3,0.1,9,1,4,0.882547517694452,0.9877454180707378,0.8679324450230048,,37,4368,0.06499695777893066
A2,maxcut,14,3,0.1,10,0,4,0.9333670516031818,0.9963720964389122,0.9333670516031818,0.9500252887023863,37,3514,0.05775570869445801
A2,maxcut,14,3,0.1,10,1,4,0.9650681461440644,0.9979289337168071,0.9252131527611993,,37,4798,0.06344389915466309
A2,maxcut,14,3,0.1,11,0,4,0.8449596503826633,0.972573088363674,0.8439156648113267,0.8666658786480733,37,3491,0.04668617248535156
A2,maxcut,14,3,0.1,11,1,4,0.8449596503826633,0.9906355878274784,0.8605405585920415,,37,4225,0.05525541305541992
A2,maxcut,14,3,0.1,12,0,4,0.9417008554685754,0.9984243474450967,0.9417008554685754,0.9417008554685754,37,3559,0.057504892349243164
A2,maxcut,14,3,0.1,12,1,4,1.0,1.0,0.9652493500903976,,37,4957,0.0655064582824707
A2,maxcut,14,3,0.1,13,0,4,0.8624679179473556,0.983564718193725,0.8521951197743967,0.8624679179473556,37,3427,0.047582149505615234
A2,maxcut,14,3,0.1,13,1,4,0.8624679179473556,0.9910964710666387,0.8605080521491918,,37,3804,0.051847219467163086
A2,maxcut,14,3,0.1,14,0,4,0.9321145784487327,0.9815611564405513,0.9064855927591499,0.9321145784487327,37,3392,0.050133466720581055
A2,maxcut,14,3,0.1,14,1,4,0.9991566513144081,0.9999544135845626,0.929942127608104,,37,4100,0.042653799057006836
A2,maxcut,14,3,0.1,15,0,4,0.8980235376727654,0.9797176607861631,0.8980235376727654,0.8980235376727654,37,3426,0.05138993263244629
