variant,oracle,n,k,eps,seed,adversarial,alg_seeds,min_ratio,mean_ratio,mean_min_ratio,exp_min_ratio,n_checkpoints,total_queries,wall_s,series
A2,maxcut,14,3,0.1,0,0,4,0.8592847104410276,0.9772997542344286,0.8394983883949414,0.8394983883949414,37,3457,0.0489974021911621,A2 (two-pass + offline combine)
A2,maxcut,14,3,0.1,0,1,4,0.8592847104410276,0.9906413947156768,0.8394983883949414,,37,3744,0.0575451850891113,A2 (two-pass + offline combine)
A2,maxcut,14,3,0.1,1,0,4,0.926007221418644,0.9737244910526416,0.8835772765741559,0.926007221418644,37,3594,0.0568945407867431,A2 (two-pass + offline combine)
A2,maxcut,14,3,0.1,1,1,4,0.9240032959178274,0.9753332287338902,0.8830762951989516,,37,4122,0.0582523345947265,A2 (two-pass + offline combine)
A2,maxcut,14,3,0.1,2,0,4,0.8519413460518069,0.9515589708427452,0.8519413460518069,0.8519413460518069,37,3436,0.0508699417114257,A2 (two-pass + offline combine)
A2,maxcut,14,3,0.1,2,1,4,0.8519413460518069,0.9696765578778322,0.8519413460518069,,37,4081,0.0613753795623779,A2 (two-pass + offline combine)
A2,maxcut,14,3,0.1,3,0,4,0.9396313266844404,0.9808434946314204,0.9187144270666332,0.9396313266844404,37,3625,0.0566527843475341,A2 (two-pass + offline combine)
A2,maxcut,14,3,0.1,3,1,4,0.9396313266844404,0.99213855572566,0.9187144270666332,,37,4119,0.0566260814666748,A2 (two-pass + offline combine)
A2,maxcut,14,3,0.1,4,0,4,0.786020321254573,0.9575060274922096,0.7695988132005277,0.7714075226838105,37,3442,0.0473983287811279,A2 (two-pass + offline combine)
A2,maxcut,14,3,0.1,4,1,4,0.786020321254573,0.9652320986121738,0.7695988132005277,,37,3996,0.0509228706359863,A2 (two-pass + offline combine)
A2,maxcut,14,3,0.1,5,0,4,0.9715164680279764,0.9903437700239052,0.9571905789348104,0.975724755506279,37,3495,0.0541930198669433,A2 (two-pass + offline combine)
A2,maxcut,14,3,0.1,5,1,4,0.9831518056539122,0.9963542843496436,0.9668535362706157,,37,4399,0.0555636882781982,A2 (two-pass + offline combine)
A2,maxcut,14,3,0.1,6,0,4,0.9570873654185548,0.991502615652181,0.9453692052457482,0.9570873654185548,37,3575,0.051788330078125,A2 (two-pass + offline combine)
A2,maxcut,14,3,0.1,6,1,4,1.0,1.0,0.9668255225364708,,37,4651,0.0598835945129394,A2 (two-pass + offline combine)
A2,maxcut,14,3,0.1,7,0,4,0.9713369759684845,0.9968034412909756,0.9409618157039248,0.9523973612478408,37,3612,0.0528793334960937,A2 (two-pass + offline combine)
A2,maxcut,14,3,0.1,7,1,4,0.9713369759684845,0.9967792151233628,0.9407261386071764,,37,4306,0.0561733245849609,A2 (two-pass + offline combine)
A2,maxcut,14,3,0.1,8,0,4,0.8519751468623801,0.9526284853353812,0.8824397742321516,0.901765705745032,37,3462,0.0531144142150878,A2 (two-pass + offline combine)
A2,maxcut,14,3,0.1,8,1,4,0.9415681020613252,0.9859824882448012,0.9397408511593386,,37,4305,0.0583589076995849,A2 (two-pass + offline combine)
A2,maxcut,14,3,0.1,9,0,4,0.8813365853278787,0.968509462022274,0.860421827093053,0.882547517694452,37,3571,0.0552785396575927,A2 (two-pass + offline combine)
A2,maxcut,14,3,0.1,9,1,4,0.882547517694452,0.9877454180707378,0.8679324450230048,,37,4368,0.0649969577789306,A2 (two-pass + offline combine)
A2,maxcut,14,3,0.1,10,0,4,0.9333670516031818,0.9963720964389122,0.9333670516031818,0.9500252887023865,37,3514,0.057755708694458,A2 (two-pass + offline combine)
A2,maxcut,14,3,0.1,10,1,4,0.9650681461440644,0.9979289337168072,0.9252131527611992,,37,4798,0.063443899154663,A2 (two-pass + offline combine)
A2,maxcut,14,3,0.1,11,0,4,0.8449596503826633,0.972573088363674,0.8439156648113267,0.8666658786480733,37,3491,0.0466861724853515,A2 (two-pass + offline combine)
A2,maxcut,14,3,0.1,11,1,4,0.8449596503826633,0.9906355878274784,0.8605405585920415,,37,4225,0.0552554130554199,A2 (two-pass + offline combine)
A2,maxcut,14,3,0.1,12,0,4,0.9417008554685754,0.9984243474450968,0.9417008554685754,0.9417008554685754,37,3559,0.0575048923492431,A2 (two-pass + offline combine)
A2,maxcut,14,3,0.1,12,1,4,1.0,1.0,0.9652493500903976,,37,4957,0.0655064582824707,A2 (two-pass + offline combine)
A2,maxcut,14,3,0.1,13,0,4,0.8624679179473556,0.983564718193725,0.8521951197743967,0.8624679179473556,37,3427,0.0475821495056152,A2 (two-pass + offline combine)
A2,maxcut,14,3,0.1,13,1,4,0.8624679179473556,0.9910964710666388,0.8605080521491918,,37,3804,0.051847219467163,A2 (two-pass + offline combine)
A2,maxcut,14,3,0.1,14,0,4,0.9321145784487328,0.9815611564405512,0.90648559275915,0.9321145784487328,37,3392,0.050133466720581,A2 (two-pass + offline combine)
A2,maxcut,14,3,0.1,14,1,4,0.999156651314408,0.9999544135845626,0.929942127608104,,37,4100,0.0426537990570068,A2 (two-pass + offline combine)
A2,maxcut,14,3,0.1,15,0,4,0.8980235376727654,0.9797176607861632,0.8980235376727654,0.8980235376727654,37,3426,0.0513899326324462,A2 (two-pass + offline combine)
A2,maxcut,14,3,0.1,15,1,4,0.8980235376727654,0.9967716339447656,0.8980235376727654,,37,3891,0.0416815280914306,A2 (two-pass + offline combine)
A2,maxcut,14,5,0.1,0,0,4,0.852380782957575,0.9629097077312626,0.8564978112718035,0.8564978112718035,37,9666,0.257659912109375,A2 (two-pass + offline combine)
A2,maxcut,14,5,0.1,0,1,4,0.9204963887394788,0.9739204289002988,0.9191309418274703,,37,11813,0.3004698753356933,A2 (two-pass + offline combine)
A2,maxcut,14,5,0.1,1,0,4,0.7921437150167949,0.946552217599321,0.826625813736546,0.842187210892786,37,9513,0.3530948162078857,A2 (two-pass + offline combine)
A2,maxcut,14,5,0.1,1,1,4,0.7921437150167949,0.951847968220608,0.8478328089869384,,37,11276,0.3627550601959228,A2 (two-pass + offline combine)
A2,maxcut,14,5,0.1,2,0,4,0.7857562616164178,0.945393355706526,0.7804689488043193,0.7950549954106191,37,9746,0.3458631038665771,A2 (two-pass + offline combine)
A2,maxcut,14,5,0.1,2,1,4,0.7745793796976903,0.9258122161392948,0.8011306622500552,,37,11209,0.3592162132263183,A2 (two-pass + offline combine)
A2,maxcut,14,5,0.1,3,0,4,0.7777079126057439,0.931491259584007,0.7588390699193246,0.8188305176754711,37,9668,0.3210783004760742,A2 (two-pass + offline combine)
A2,maxcut,14,5,0.1,3,1,4,0.784233803004008,0.9679370544356436,0.7800644775964051,,37,10679,0.3405728340148926,A2 (two-pass + offline combine)
A2,maxcut,14,5,0.1,4,0,4,0.8626820394515766,0.9789240955502776,0.8683715373526146,0.8798700421652207,37,10025,0.3929929733276367,A2 (two-pass + offline combine)
A2,maxcut,14,5,0.1,4,1,4,0.8725833695310803,0.9860759526934711,0.8888919703509622,,37,11295,0.4086587429046631,A2 (two-pass + offline combine)
A2,maxcut,14,5,0.1,5,0,4,0.741847995930554,0.9621374732494872,0.7547577482527235,0.7758010540941689,37,9471,0.4112675189971924,A2 (two-pass + offline combine)
A2,maxcut,14,5,0.1,5,1,4,0.8050402031347534,0.943959851452868,0.8069688168247985,,37,11044,0.3605127334594726,A2 (two-pass + offline combine)
A2,maxcut,14,5,0.1,6,0,4,0.9124605040005204,0.9545898405388388,0.8345715178519983,0.8665127066737537,37,9779,0.3620557785034179,A2 (two-pass + offline combine)
A2,maxcut,14,5,0.1,6,1,4,0.8895555346839037,0.975622263236781,0.8288452755228441,,37,11903,0.3399772644042969,A2 (two-pass + offline combine)
A2,maxcut,14,5,0.1,7,0,4,0.7264589581478171,0.9710645494224897,0.7903826359559281,0.843558635002787,37,10124,0.386117935180664,A2 (two-pass + offline combine)
A2,maxcut,14,5,0.1,7,1,4,0.7264589581478171,0.9629954525829064,0.7985232141607372,,37,12414,0.3737213611602783,A2 (two-pass + offline combine)
A2,maxcut,14,5,0.1,8,0,4,0.6977187685075498,0.9475335712643582,0.7449674946660089,0.782117757070891,37,9953,0.3287196159362793,A2 (two-pass + offline combine)
A2,maxcut,14,5,0.1,8,1,4,0.7887388318574211,0.980845418025734,0.8040619826072438,,37,11510,0.3399209976196289,A2 (two-pass + offline combine)
A2,maxcut,14,5,0.1,9,0,4,0.7306756579307113,0.9330470092312028,0.752922201042233,0.77312599042392,37,10063,0.3837175369262695,A2 (two-pass + offline combine)
A2,maxcut,14,5,0.1,9,1,4,0.7306756579307113,0.9595828123089002,0.7720737340006549,,37,11579,0.3719229698181152,A2 (two-pass + offline combine)
A2,maxcut,14,5,0.1,10,0,4,0.7226651699318535,0.9322283486772346,0.8039201404992101,0.8082299701282697,37,9194,0.3418910503387451,A2 (two-pass + offline combine)
A2,maxcut,14,5,0.1,10,1,4,0.7226651699318535,0.9558896949776278,0.8082299701282697,,37,11295,0.3622400760650635,A2 (two-pass + offline combine)
A2,maxcut,14,5,0.1,11,0,4,0.7461598853074842,0.9772564593846748,0.8533928221641343,0.8696271992868633,37,9219,0.3713762760162353,A2 (two-pass + offline combine)
A2,maxcut,14,5,0.1,11,1,4,0.7461598853074842,0.9771107981070888,0.8533928221641343,,37,11646,0.3579738140106201,A2 (two-pass + offline combine)
A2,maxcut,14,5,0.1,12,0,4,0.6754925339338181,0.8737025462039381,0.7222373802524624,0.7608924343788902,37,8968,0.4348375797271728,A2 (two-pass + offline combine)
A2,maxcut,14,5,0.1,12,1,4,0.6754925339338181,0.9531773858240568,0.7545879258660678,,37,10643,0.3271782398223877,A2 (two-pass + offline combine)
A2,maxcut,14,5,0.1,13,0,4,0.8181831331672955,0.9684083233579748,0.841184205381585,0.8692567300285522,37,9744,0.3475532531738281,A2 (two-pass + offline combine)
A2,maxcut,14,5,0.1,13,1,4,0.8181831331672955,0.9761964944859068,0.841184205381585,,37,10808,0.3529989719390869,A2 (two-pass + offline combine)
A2,maxcut,14,5,0.1,14,0,4,0.8098485733278933,0.9484498653823508,0.783147726096663,0.8063999064632553,37,9617,0.3775105476379394,A2 (two-pass + offline combine)
A2,maxcut,14,5,0.1,14,1,4,0.8098485733278933,0.978124107527434,0.773415965727976,,37,11216,0.3965275287628174,A2 (two-pass + offline combine)
A2,maxcut,14,5,0.1,15,0,4,0.8613810242016736,0.980023587605484,0.8608825600930498,0.8818451400193924,37,9357,0.3261024951934814,A2 (two-pass + offline combine)
A2,maxcut,14,5,0.1,15,1,4,0.8613810242016736,0.9747744765991796,0.8608825600930498,,37,10550,0.3470611572265625,A2 (two-pass + offline combine)
A2,dicut,14,3,0.1,0,0,4,0.9105811895903672,0.990061021376969,0.9105811895903672,0.9105811895903672,37,3406,0.0522770881652832,A2 (two-pass + offline combine)
A2,dicut,14,3,0.1,0,1,4,0.9043134715673128,0.9857187564720842,0.9122671470012492,,37,3730,0.0456519126892089,A2 (two-pass + offline combine)
A2,dicut,14,3,0.1,1,0,4,0.6142423243929929,0.950633058680315,0.6008920185875027,0.6008920185875027,37,3578,0.0430052280426025,A2 (two-pass + offline combine)
A2,dicut,14,3,0.1,1,1,4,0.6142423243929929,0.9795876665692576,0.6008920185875027,,37,3663,0.0491044521331787,A2 (two-pass + offline combine)
A2,dicut,14,3,0.1,2,0,4,0.615759812820886,0.9449567443044176,0.6137274511666774,0.6346032034556524,37,3387,0.0432600975036621,A2 (two-pass + offline combine)
A2,dicut,14,3,0.1,2,1,4,0.6566261772039494,0.9685159915494858,0.6400623266391477,,37,3558,0.0450003147125244,A2 (two-pass + offline combine)
A2,dicut,14,3,0.1,3,0,4,0.9785140289092296,0.9921615321198556,0.967255799191169,0.9704661142902028,37,3380,0.0423684120178222,A2 (two-pass + offline combine)
A2,dicut,14,3,0.1,3,1,4,0.9785140289092296,0.9985397011395084,0.967255799191169,,37,3758,0.0469551086425781,A2 (two-pass + offline combine)
A2,dicut,14,3,0.1,4,0,4,0.7078431171969013,0.9383554356324576,0.7175978798049547,0.7641626986166583,37,3411,0.0400245189666748,A2 (two-pass + offline combine)
A2,dicut,14,3,0.1,4,1,4,0.7531788853384802,0.970739566043494,0.730508385708269,,37,3805,0.0516777038574218,A2 (two-pass + offline combine)
A2,dicut,14,3,0.1,5,0,4,0.9567219204053876,0.996737009293754,0.9141491679411756,0.946607727637135,37,3517,0.0484633445739746,A2 (two-pass + offline combine)
A2,dicut,14,3,0.1,5,1,4,0.990689361713846,0.9996812312020148,0.9314095952617272,,37,4172,0.0492243766784668,A2 (two-pass + offline combine)
A2,dicut,14,3,0.1,6,0,4,0.8932829332938345,0.9852312905114315,0.9235166231465672,0.9489949335384822,37,3415,0.0456113815307617,A2 (two-pass + offline combine)
A2,dicut,14,3,0.1,6,1,4,0.8932829332938345,0.9921614129264198,0.9235166231465672,,37,4160,0.0556311607360839,A2 (two-pass + offline combine)
A2,dicut,14,3,0.1,7,0,4,0.7174820624429563,0.9771122367945908,0.7734573564884819,0.7796619533169558,37,3610,0.0463087558746337,A2 (two-pass + offline combine)
A2,dicut,14,3,0.1,7,1,4,0.7174820624429563,0.9880353205776778,0.7734573564884819,,37,4062,0.0517413616180419,A2 (two-pass + offline combine)
A2,dicut,14,3,0.1,8,0,4,0.9178947971356324,0.9955618809262504,0.8360593373016671,0.9177308298448276,37,3488,0.0556786060333251,A2 (two-pass + offline combine)
A2,dicut,14,3,0.1,8,1,4,0.9178947971356324,0.9954455839252664,0.8360593373016671,,37,3945,0.049128770828247,A2 (two-pass + offline combine)
A2,dicut,14,3,0.1,9,0,4,0.950028920243274,0.9917471927977886,0.9169138881687782,0.950028920243274,37,3569,0.0476651191711425,A2 (two-pass + offline combine)
A2,dicut,14,3,0.1,9,1,4,0.9792535815604922,0.9967121022858024,0.9403686718605022,,37,4106,0.0544531345367431,A2 (two-pass + offline combine)
A2,dicut,14,3,0.1,10,0,4,0.8933892001760322,0.9814073847003822,0.8982380175971584,0.9006624263077214,37,3413,0.047586441040039,A2 (two-pass + offline combine)
A2,dicut,14,3,0.1,10,1,4,0.8933892001760322,0.9922132248062296,0.8982380175971584,,37,3963,0.0513975620269775,A2 (two-pass + offline combine)
A2,dicut,14,3,0.1,11,0,4,0.8838931085966429,0.9726362645910356,0.8838931085966429,0.8838931085966429,37,3403,0.0418868064880371,A2 (two-pass + offline combine)
A2,dicut,14,3,0.1,11,1,4,0.8838931085966429,0.9937907394431884,0.8838931085966429,,37,3872,0.0542707443237304,A2 (two-pass + offline combine)
A2,dicut,14,3,0.1,12,0,4,0.8171551235215166,0.9469260548613112,0.7701178372653324,0.7754975949438268,37,3395,0.0457539558410644,A2 (two-pass + offline combine)
A2,dicut,14,3,0.1,12,1,4,0.8672171772950948,0.9879666478158424,0.8008349639893844,,37,3907,0.0544812679290771,A2 (two-pass + offline combine)
A2,dicut,14,3,0.1,13,0,4,0.8284458766474682,0.9654074235823412,0.8214599829807239,0.8426682419519249,37,3410,0.0420577526092529,A2 (two-pass + offline combine)
A2,dicut,14,3,0.1,13,1,4,0.8284458766474682,0.9864515680382276,0.8214599829807239,,37,3788,0.0470361709594726,A2 (two-pass + offline combine)
A2,dicut,14,3,0.1,14,0,4,0.8802408440854526,0.9843675300903538,0.9040037666141983,0.9040037666141983,37,3462,0.0494863986968994,A2 (two-pass + offline combine)
A2,dicut,14,3,0.1,14,1,4,0.9463964459922688,0.9960298930449014,0.9386445574037632,,37,3959,0.0495755672454834,A2 (two-pass + offline combine)
A2,dicut,14,3,0.1,15,0,4,0.988625279184995,0.9975028566835064,0.988625279184995,0.9909978242338604,37,3697,0.0452182292938232,A2 (two-pass + offline combine)
A2,dicut,14,3,0.1,15,1,4,0.9587457324128742,0.9964256206998062,0.9587457324128742,,37,4344,0.0524625778198242,A2 (two-pass + offline combine)
A2,dicut,14,5,0.1,0,0,4,0.8139363832242106,0.9605472690943146,0.8163171696593658,0.8287535165439337,37,10378,0.3051471710205078,A2 (two-pass + offline combine)
A2,dicut,14,5,0.1,0,1,4,0.8139363832242106,0.9870937620863868,0.800978595839466,,37,13335,0.3321101665496826,A2 (two-pass + offline combine)
A2,dicut,14,5,0.1,1,0,4,0.7441578408354376,0.9533932690528616,0.7702180666398999,0.7702180666398999,37,9362,0.2816026210784912,A2 (two-pass + offline combine)
A2,dicut,14,5,0.1,1,1,4,0.7441578408354376,0.9816877749226692,0.7702180666398999,,37,10912,0.2969939708709717,A2 (two-pass + offline combine)
A2,dicut,14,5,0.1,2,0,4,0.8641384598462774,0.9733698844824212,0.8641384598462774,0.8641384598462774,37,9229,0.3045580387115478,A2 (two-pass + offline combine)
A2,dicut,14,5,0.1,2,1,4,0.9710595028319012,0.996658425474386,0.948604811880047,,37,9980,0.2920613288879394,A2 (two-pass + offline combine)
A2,dicut,14,5,0.1,3,0,4,0.6514358013907314,0.9445285665201574,0.7947974692869147,0.8396297254741005,37,9397,0.2782108783721924,A2 (two-pass + offline combine)
A2,dicut,14,5,0.1,3,1,4,0.7333344505946391,0.9795363796331512,0.8265085587197131,,37,10737,0.2792835235595703,A2 (two-pass + offline combine)
A2,dicut,14,5,0.1,4,0,4,0.91924655717296,0.9729202359196588,0.8946652995738975,0.9252469417761308,37,10707,0.3380434513092041,A2 (two-pass + offline combine)
A2,dicut,14,5,0.1,4,1,4,0.9483210421279036,0.9961413115784592,0.9072024138503124,,37,11880,0.3528347015380859,A2 (two-pass + offline combine)
A2,dicut,14,5,0.1,5,0,4,0.8225455473969508,0.9567486863808932,0.8553099837873275,0.906814048805036,37,9704,0.2869288921356201,A2 (two-pass + offline combine)
A2,dicut,14,5,0.1,5,1,4,0.8225455473969508,0.9644864662212664,0.8570053784261614,,37,11174,0.3077049255371094,A2 (two-pass + offline combine)
A2,dicut,14,5,0.1,6,0,4,0.885356671380075,0.9569936956892252,0.885356671380075,0.885356671380075,37,9197,0.2984898090362549,A2 (two-pass + offline combine)
A2,dicut,14,5,0.1,6,1,4,0.939399839503816,0.9963467853459536,0.939399839503816,,37,11097,0.3185663223266601,A2 (two-pass + offline combine)
