V1,V2,V3,V4,V5,V6,V7,Class
0,0,0,0,39,3.415,25.045,1
2,0,48,0,12,3.415,25.045,1
1,0,35,0,38,3.415,25.045,1
2,0,53,0,12,3.415,25.045,1
0,0,0,0,51,3.415,25.045,1
0,0,0,0,42,3.415,25.045,1
1,0,38,0,23,3.415,25.045,1
1,0,14,0,50,3.415,25.045,1
0,0,0,0,34,3.415,25.045,1
0,0,0,0,31,3.415,25.045,1
0,0,32,0,14,3.415,25.045,1
1,0,30,0,43,3.415,25.045,1
0,0,0,0,36,3.415,25.045,1
0,0,47,0,44,3.415,25.045,1
0,0,0,0,4,3.415,25.045,1
1,0,10,0,16,3.415,25.045,1
0,0,0,0,10,3.415,25.045,1
1,0,36,0,23,3.415,25.045,1
2,0,42,0,30,3.415,25.045,1
1,0,16,0,35,3.415,25.045,1
1,0,32,0,22,3.415,25.045,1
0,0,0,0,17,3.415,25.045,1
3,0,44,0,26,3.415,25.045,1
1,0,15,0,16,3.415,25.045,1
1,0,20,0,8,6.27,25.045,1
0,0,0,0,31,6.27,25.045,1
1,0,15,0,25,6.27,25.045,1
1,0,17,0,0,6.27,25.045,1
1,0,10,0,39,6.27,25.045,1
1,0,11,0,24,6.27,25.045,1
1,0,12,0,40,6.27,25.045,1
1,0,17,0,30,6.27,25.045,1
0,0,34,0,0,6.27,25.045,1
1,0,20,0,37,6.27,25.045,1
0,0,23,0,44,6.27,25.045,1
1,0,21,0,8,6.995,25.045,1
1,0,8,0,32,6.995,25.045,1
1,0,21,0,18,6.995,25.045,1
0,0,27,0,20,6.995,25.045,1
0,0,0,0,25,6.995,25.045,1
0,0,0,0,17,6.995,25.045,1
0,0,0,0,25,6.995,25.045,1
0,0,0,0,30,6.995,25.045,1
1,0,11,0,30,6.995,25.045,1
1,0,14,0,35,6.995,25.045,1
0,0,40,0,18,6.995,25.045,1
1,0,8,0,14,6.995,25.045,1
1,0,6,0,5,6.995,25.045,1
0,0,0,0,23,6.995,25.045,1
1,0,60,0,17,6.995,25.045,1
0,0,0,0,42,6.995,25.045,1
2,0,53,0,27,6.995,25.045,1
0,0,0,0,11,6.995,25.045,1
0,0,0,0,10,6.995,25.045,1
0,0,0,0,23,6.995,27.63,1
0,0,0,0,22,6.995,27.63,1
0,0,27,0,8,6.995,27.63,1
0,0,0,0,12,6.995,27.63,1
1,0,10,0,32,6.995,27.63,1
1,0,22,0,27,6.995,27.63,1
1,0,30,0,8,6.995,27.63,1
1,0,24,0,5,6.995,27.63,1
1,0,33,0,8,6.995,27.63,1
1,0,17,0,0,6.995,27.63,1
0,0,0,0,6,6.995,29.652,1
0,0,0,0,37,6.995,29.652,1
1,0,38,0,14,6.995,29.652,1
1,0,14,0,38,6.995,29.652,1
1,0,21,0,35,6.995,29.652,1
1,0,16,0,0,6.995,29.652,1
1,0,24,0,12,6.995,29.652,1
0,0,0,0,-2,6.995,29.652,1
0,0,0,0,38,7.67,29.652,1
1,0,24,0,45,7.67,29.652,1
0,0,0,0,7,7.67,29.652,1
1,0,4,0,44,7.67,29.652,1
0,0,0,0,36,7.67,29.652,1
1,0,18,0,17,7.67,29.652,1
0,0,0,0,29,7.67,29.652,1
0,0,0,0,22,7.67,29.652,1
0,0,0,0,21,7.67,29.652,1
0,0,0,0,8,7.67,29.652,1
1,0,12,0,16,7.67,29.652,1
1,0,32,0,10,7.67,29.652,1
1,0,8,0,18,7.67,29.652,1
1,0,16,0,29,7.67,29.652,1
0,0,0,0,34,7.67,29.652,1
0,0,0,0,8,8.530000000000001,29.652,1
3,0,44,0,12,8.530000000000001,29.652,1
1,0,5,0,27,8.530000000000001,29.652,1
1,0,16,0,10,8.530000000000001,29.652,1
1,0,12,0,7,8.530000000000001,29.652,1
1,0,46,0,10,8.530000000000001,29.652,1
0,0,0,0,17,8.530000000000001,29.652,1
1,0,12,0,7,8.530000000000001,29.652,1
0,0,0,0,0,8.530000000000001,29.652,1
0,0,0,0,39,8.530000000000001,29.652,1
1,0,8,0,47,8.530000000000001,29.652,1
0,0,0,0,16,8.530000000000001,29.652,1
0,0,27,0,19,8.530000000000001,29.652,1
1,0,13,0,48,8.530000000000001,29.652,1
1,0,20,0,6,8.530000000000001,29.652,1
1,0,13,0,38,8.530000000000001,29.652,1
1,0,39,0,-2,8.530000000000001,29.652,1
1,0,13,0,23,8.530000000000001,29.652,1
1,0,22,0,9,8.530000000000001,29.652,1
1,0,24,0,18,8.530000000000001,29.652,1
1,0,30,0,40,8.530000000000001,29.652,1
0,0,40,0,37,8.530000000000001,29.652,1
0,0,0,0,30,8.530000000000001,29.652,1
2,0,19,0,18,8.530000000000001,29.652,1
1,0,16,0,34,8.530000000000001,29.652,1
1,0,24,0,17,8.530000000000001,29.652,1
1,0,21,0,20,8.530000000000001,29.652,1
0,0,0,0,6,8.530000000000001,29.652,1
1,0,27,0,23,8.530000000000001,29.652,1
0,0,0,0,18,8.530000000000001,29.652,1
0,0,0,0,40,8.530000000000001,29.652,1
0,0,0,0,21,8.530000000000001,29.652,1
0,0,0,0,29,8.530000000000001,31.717000000000002,1
0,0,0,0,36,8.530000000000001,31.717000000000002,1
1,0,39,0,23,8.530000000000001,31.717000000000002,1
0,0,29,0,37,8.530000000000001,31.717000000000002,1
0,0,23,0,22,9.5,31.717000000000002,1
1,0,12,0,21,9.5,31.717000000000002,1
1,0,26,0,26,9.5,31.717000000000002,1
1,0,35,0,27,9.5,31.717000000000002,1
1,0,18,0,6,9.5,31.717000000000002,1
1,0,21,0,24,9.5,31.717000000000002,1
2,0,19,0,18,9.5,31.717000000000002,1
1,0,18,0,23,9.5,31.717000000000002,1
2,0,53,0,32,9.5,31.717000000000002,1
0,0,0,0,7,9.5,31.717000000000002,1
1,0,16,0,0,9.5,31.717000000000002,1
1,0,28,0,17,9.5,31.717000000000002,1
1,0,26,0,6,9.5,31.717000000000002,1
1,0,21,0,27,9.5,31.717000000000002,1
2,0,43,0,20,9.5,31.717000000000002,1
1,0,35,0,39,9.5,33.370000000000005,1
1,0,22,0,11,9.5,33.370000000000005,1
1,0,27,0,12,9.5,33.370000000000005,1
1,0,14,0,8,9.5,33.370000000000005,1
1,0,20,0,24,9.5,33.370000000000005,1
0,0,0,0,24,9.5,33.370000000000005,1
1,0,7,0,18,9.5,33.370000000000005,1
1,0,18,0,21,9.5,33.370000000000005,1
1,0,28,0,8,9.5,33.370000000000005,1
0,0,0,0,33,9.5,33.370000000000005,1
3,0,53,0,11,9.5,33.370000000000005,1
1,0,24,0,8,9.5,33.370000000000005,1
0,0,0,0,14,9.5,33.370000000000005,1
1,0,4,0,25,9.5,33.370000000000005,1
1,0,25,0,38,9.5,33.370000000000005,1
1,0,60,0,31,9.5,33.370000000000005,1
0,0,0,0,22,9.5,33.370000000000005,1
0,0,0,0,58,9.5,33.370000000000005,1
1,0,24,0,6,9.5,33.370000000000005,1
1,0,8,0,-2,9.5,33.370000000000005,1
1,0,15,0,10,9.5,33.370000000000005,1
0,0,9,0,9,9.5,33.370000000000005,1
0,0,0,0,20,9.5,33.370000000000005,1
1,0,8,0,11,9.5,33.370000000000005,1
1,0,30,0,7,9.5,33.370000000000005,1
1,0,6,0,-2,9.5,33.370000000000005,1
1,0,21,0,15,9.5,33.370000000000005,1
1,0,12,0,21,10.5,33.370000000000005,1
0,0,0,0,33,10.5,33.370000000000005,1
